,age,gender,education,experience_prog,experience_ml,industry,team_size,salary,country_group,company_size_g,role_group,programming_lang_c,salary_avg
68,8,0,4,2,0,10,4,3,3,0,2,5,112500.0
69,5,0,0,5,7,8,6,3,2,0,0,2,112500.0
70,1,0,0,0,8,8,4,1,1,0,0,3,1500.0
71,6,0,4,0,0,7,4,18,0,0,3,1,55000.0
72,9,0,1,4,4,3,6,2,1,2,0,5,12500.0
73,2,0,0,3,7,4,0,2,2,0,3,2,12500.0
74,4,0,4,1,2,2,4,13,2,0,1,3,35000.0
75,10,0,4,3,2,4,1,11,3,2,3,1,275000.0
76,5,0,4,1,6,3,4,20,1,0,0,4,65000.0
77,3,0,4,2,6,10,4,13,0,1,2,2,35000.0
78,9,0,4,0,8,15,0,0,1,0,3,2,500.0
79,5,0,1,4,7,0,6,16,0,1,2,4,45000.0
80,5,2,1,4,6,0,5,3,2,2,2,2,112500.0
81,1,0,6,5,8,0,0,0,2,2,1,4,500.0
82,3,0,1,4,8,0,0,18,0,0,2,2,55000.0
83,6,0,4,3,2,4,6,16,2,0,2,2,45000.0
84,0,0,6,0,7,13,5,15,2,1,1,1,4500.0
85,2,0,4,1,7,3,0,16,2,2,1,3,45000.0
86,3,2,4,4,2,9,4,10,2,0,1,1,27500.0
87,2,2,0,0,0,9,5,0,1,1,1,2,500.0
88,5,0,0,1,6,3,5,2,2,1,1,6,12500.0
89,2,0,4,5,8,3,1,0,1,2,2,1,500.0
90,3,0,3,5,7,1,2,0,2,1,0,1,500.0
91,5,0,0,1,2,12,4,23,0,0,1,3,85000.0
92,10,2,4,2,0,5,5,3,3,0,0,2,112500.0
93,1,0,0,3,8,0,0,0,1,2,2,3,500.0
94,3,0,0,1,0,4,1,24,2,0,0,5,95000.0
95,1,0,0,4,2,3,1,17,1,1,1,6,6250.0
96,3,0,4,4,6,7,6,4,2,0,2,2,137500.0
97,9,0,1,2,3,1,5,0,2,2,2,1,500.0
98,3,0,6,5,7,3,1,10,0,1,1,2,27500.0
99,1,2,4,0,8,3,1,0,2,2,1,4,500.0
100,7,0,0,1,7,14,0,3,2,2,1,2,112500.0
101,2,0,6,3,7,3,0,0,2,2,0,1,500.0
102,6,0,4,4,8,7,5,4,0,0,0,3,137500.0
103,4,0,4,4,6,3,4,3,2,0,2,3,112500.0
104,9,0,4,2,2,3,1,23,3,2,0,3,85000.0
105,1,0,0,0,0,3,5,0,1,0,1,2,500.0
106,3,0,0,4,0,3,1,2,1,0,1,3,12500.0
107,5,0,3,0,8,0,0,22,2,2,3,2,8750.0
108,0,0,0,0,8,3,2,0,1,0,1,3,500.0
109,3,0,1,0,8,0,1,0,2,0,2,1,500.0
110,1,0,0,4,2,3,1,2,2,2,0,4,12500.0
111,4,0,1,0,0,4,1,10,2,0,2,3,27500.0
112,3,0,4,1,6,13,1,11,3,2,2,3,275000.0
113,0,0,0,3,2,13,4,17,2,0,0,4,6250.0
114,4,0,0,4,0,15,4,10,2,0,3,7,27500.0
115,9,0,4,3,8,15,1,0,2,2,0,1,500.0
116,3,0,0,4,0,3,1,13,1,0,3,2,35000.0
117,8,0,4,2,6,2,4,9,3,0,2,2,225000.0
118,3,2,1,4,5,9,2,20,0,1,2,2,65000.0
119,1,2,0,0,0,16,6,0,2,1,2,2,500.0
120,5,0,0,0,8,17,1,10,0,2,0,1,27500.0
121,2,0,0,0,8,3,5,8,2,1,1,3,22500.0
122,2,0,1,3,5,0,1,15,2,1,2,2,4500.0
123,3,0,0,4,7,2,0,5,0,2,1,3,17500.0
124,3,0,4,1,4,13,4,20,1,0,2,1,65000.0
125,3,0,6,5,8,17,4,16,3,0,3,1,45000.0
126,1,0,4,3,0,8,4,2,0,0,2,1,12500.0
127,8,0,6,2,0,3,0,1,2,1,3,7,1500.0
128,4,2,1,1,5,0,6,20,0,0,2,1,65000.0
129,3,0,4,3,8,17,4,1,2,0,1,4,1500.0
130,3,0,1,4,5,3,4,13,1,0,1,4,35000.0
131,3,0,0,0,8,3,4,2,1,0,0,2,12500.0
132,4,0,4,4,2,16,5,8,2,0,0,3,22500.0
133,10,0,4,2,3,3,1,17,2,0,3,4,6250.0
134,0,0,0,5,8,15,0,0,2,2,2,2,500.0
135,6,0,2,5,8,15,5,2,0,0,3,1,12500.0
136,0,0,4,3,0,3,0,12,2,2,1,7,3500.0
137,2,2,1,4,5,1,5,22,2,0,2,1,8750.0
138,2,0,2,4,5,3,5,20,2,0,1,3,65000.0
139,2,0,0,5,0,8,3,2,1,0,2,3,12500.0
140,1,0,0,0,8,3,4,15,1,0,2,2,4500.0
141,1,0,4,0,0,8,1,0,2,2,2,1,500.0
142,2,0,4,3,0,0,5,0,2,2,2,2,500.0
143,7,0,2,2,7,17,5,21,0,0,1,3,75000.0
144,7,0,4,2,5,3,1,4,2,0,1,4,137500.0
145,5,0,0,3,0,3,1,7,1,0,1,3,2500.0
146,4,0,4,5,8,4,6,20,0,0,2,1,65000.0
147,2,0,4,4,0,15,4,13,0,0,1,2,35000.0
148,1,0,1,3,4,15,1,0,0,2,0,4,500.0
149,2,0,0,5,8,13,1,0,1,2,2,1,500.0
150,1,0,4,3,7,3,5,21,3,0,3,2,75000.0
151,4,2,1,0,7,0,1,1,1,2,2,2,1500.0
152,8,2,4,0,7,3,4,0,2,0,0,1,500.0
153,3,0,0,3,5,3,3,13,1,0,1,2,35000.0
154,2,2,4,5,8,3,5,7,2,0,0,1,2500.0
155,9,0,4,2,2,3,3,3,3,1,1,4,112500.0
156,3,0,4,0,0,3,5,12,2,0,1,2,3500.0
157,3,0,1,1,6,16,1,3,0,1,2,3,112500.0
158,2,2,0,5,7,4,4,17,1,0,0,3,6250.0
159,6,1,0,1,0,0,6,0,2,2,2,2,500.0
160,2,2,1,3,2,0,1,0,2,1,0,1,500.0
161,2,2,4,0,8,13,4,0,1,0,0,2,500.0
162,6,0,4,1,8,5,2,3,0,0,0,3,112500.0
163,2,0,0,4,7,3,1,0,2,2,1,4,500.0
164,1,0,0,0,0,11,1,12,2,0,3,1,3500.0
165,4,0,4,5,8,3,1,7,2,0,1,4,2500.0
166,5,0,4,5,8,0,6,0,2,2,0,2,500.0
167,7,0,0,2,6,16,4,11,3,0,1,6,275000.0
168,3,0,4,0,8,8,1,2,2,0,0,3,12500.0
169,6,2,4,1,8,11,4,4,2,0,2,1,137500.0
170,4,2,4,1,6,3,1,6,3,2,2,4,175000.0
171,4,0,0,5,7,8,0,8,0,0,3,1,22500.0
172,1,0,0,0,2,6,4,7,1,0,0,5,2500.0
173,6,0,4,5,8,5,1,17,2,0,0,1,6250.0
174,5,0,4,2,2,15,1,13,2,2,0,2,35000.0
175,3,2,4,3,6,3,6,22,1,0,2,3,8750.0
176,2,1,1,3,4,0,4,18,0,0,2,4,55000.0
177,2,0,0,0,7,0,0,12,1,1,1,2,3500.0
178,6,0,4,2,3,15,6,10,1,1,2,2,27500.0
179,3,0,0,1,2,3,4,21,0,0,1,1,75000.0
180,3,1,0,4,8,9,1,2,2,2,1,5,12500.0
181,4,2,1,3,4,0,5,22,2,2,0,1,8750.0
182,9,0,4,2,5,0,5,0,2,0,3,3,500.0
183,1,0,0,0,8,3,5,5,2,1,0,1,17500.0
184,0,2,0,5,8,12,0,0,2,2,1,1,500.0
185,2,0,4,3,4,3,5,10,1,0,2,1,27500.0
186,5,0,4,1,8,2,2,3,2,0,3,6,112500.0
187,5,0,0,5,8,16,4,1,2,2,2,1,1500.0
188,4,0,4,0,0,5,4,0,2,0,1,3,500.0
189,4,0,1,4,2,0,1,15,0,2,2,3,4500.0
190,5,0,1,1,7,3,6,16,0,2,2,2,45000.0
191,2,0,0,0,0,7,6,2,1,2,2,2,12500.0
192,4,0,4,4,4,3,4,12,2,0,2,6,3500.0
193,6,0,4,3,0,3,1,0,0,2,0,2,500.0
194,2,0,4,4,5,1,1,0,2,2,2,3,500.0
195,5,0,4,3,2,0,4,20,2,0,3,1,65000.0
196,2,2,4,0,8,0,1,1,0,0,0,3,1500.0
197,0,0,0,0,8,15,0,0,2,2,2,1,500.0
198,7,0,1,1,0,3,1,10,0,1,2,4,27500.0
199,3,0,4,5,8,0,5,0,1,1,2,3,500.0
200,8,0,1,2,3,15,5,21,0,1,2,3,75000.0
201,4,0,0,4,2,3,4,10,2,0,2,4,27500.0
202,2,0,4,3,4,8,5,8,1,0,2,3,22500.0
203,1,0,6,3,2,3,0,0,2,2,1,2,500.0
204,3,0,0,4,5,3,5,7,1,0,1,2,2500.0
205,3,0,4,4,6,7,4,6,3,0,2,4,175000.0
206,3,0,4,4,0,0,5,17,2,0,1,4,6250.0
207,5,0,4,4,8,0,6,0,1,0,1,2,500.0
208,4,0,1,0,8,3,1,12,1,2,1,2,3500.0
209,1,0,4,5,8,0,1,22,2,1,2,1,8750.0
210,1,0,4,5,7,1,0,1,0,1,0,1,1500.0
211,4,0,0,4,8,16,4,21,3,0,0,3,75000.0
212,2,0,0,5,7,1,6,13,2,0,3,1,35000.0
213,2,0,4,3,4,1,5,10,2,0,2,3,27500.0
214,7,0,4,2,4,3,1,20,2,2,0,4,65000.0
215,4,0,0,4,0,0,5,7,2,1,1,2,2500.0
216,2,2,0,3,0,10,1,2,1,0,0,3,12500.0
217,9,0,4,1,0,14,1,2,1,2,1,3,12500.0
218,9,0,0,4,8,1,4,15,1,0,0,1,4500.0
219,1,0,0,0,0,1,5,0,2,2,1,3,500.0
220,2,0,1,0,8,0,1,0,2,2,2,2,500.0
221,0,2,6,5,8,8,1,0,2,2,1,3,500.0
222,6,0,4,1,8,3,0,20,2,0,3,2,65000.0
223,5,0,4,1,8,10,4,21,2,0,1,3,75000.0
224,7,0,4,2,0,3,3,18,2,0,0,6,55000.0
225,2,0,0,3,0,15,6,1,2,1,2,4,1500.0
226,4,0,4,1,6,1,5,3,3,2,2,2,112500.0
227,7,2,5,0,2,3,1,24,3,2,2,4,95000.0
228,0,0,4,5,8,4,6,0,2,1,2,3,500.0
229,7,0,0,0,0,14,5,20,0,1,0,1,65000.0
230,7,0,0,2,6,4,2,6,3,0,0,3,175000.0
231,4,0,1,1,6,17,5,5,0,1,2,3,17500.0
232,5,0,4,2,8,1,1,0,0,2,1,6,500.0
233,1,2,4,0,0,0,5,15,2,2,2,2,4500.0
234,4,2,1,4,0,0,0,0,1,2,2,5,500.0
235,2,0,0,0,8,2,4,17,2,0,0,4,6250.0
236,2,0,4,0,8,4,0,5,0,0,2,2,17500.0
237,0,2,4,4,8,15,1,0,3,2,3,4,500.0
238,8,2,1,4,7,0,2,22,2,1,2,1,8750.0
239,1,0,4,5,7,16,6,7,0,1,1,1,2500.0
240,1,0,0,3,2,5,4,2,1,0,0,3,12500.0
241,2,0,0,5,8,3,4,0,1,0,2,1,500.0
242,3,0,0,4,2,1,1,8,0,1,1,6,22500.0
243,2,2,0,4,2,7,2,2,2,2,2,7,12500.0
244,5,1,0,1,8,14,0,22,1,2,1,5,8750.0
245,2,0,4,0,0,15,1,0,2,2,2,2,500.0
246,6,0,0,0,0,3,4,16,2,0,3,1,45000.0
247,4,2,1,0,7,15,1,15,2,0,2,1,4500.0
248,5,0,4,4,6,3,4,3,2,0,0,3,112500.0
249,3,2,0,5,7,8,1,10,3,2,0,2,27500.0
250,3,2,0,5,8,1,1,1,0,2,0,5,1500.0
251,0,0,6,0,8,3,5,0,2,2,1,1,500.0
252,4,0,4,4,8,7,4,13,2,0,2,3,35000.0
253,2,0,4,0,2,3,4,6,1,0,2,5,175000.0
254,3,0,4,4,2,0,5,17,2,1,0,3,6250.0
255,1,0,0,3,0,1,4,8,1,0,1,3,22500.0
256,1,0,6,5,7,0,0,0,0,2,3,2,500.0
257,1,0,0,0,8,6,5,1,2,2,0,4,1500.0
258,0,0,0,3,0,0,4,0,2,0,1,3,500.0
259,3,0,1,5,0,0,1,12,1,0,2,1,3500.0
260,2,0,1,0,8,0,1,0,2,2,2,1,500.0
261,3,0,0,1,2,14,4,6,3,0,0,2,175000.0
262,1,0,4,5,8,1,5,17,1,0,1,1,6250.0
263,4,2,4,1,0,2,5,2,1,0,1,3,12500.0
264,3,0,4,5,8,16,1,0,2,2,2,1,500.0
265,5,0,4,1,4,3,5,12,1,0,2,4,3500.0
266,3,0,0,0,0,1,0,3,3,2,0,1,112500.0
267,2,0,4,5,0,3,4,4,3,0,0,2,137500.0
268,0,0,0,0,7,12,0,0,2,2,0,6,500.0
269,4,0,4,1,6,3,5,4,3,1,0,4,137500.0
270,1,0,0,0,8,3,6,2,1,2,2,2,12500.0
271,3,0,5,4,0,0,5,0,2,0,2,2,500.0
272,3,2,0,5,8,13,5,8,0,1,0,2,22500.0
273,0,0,4,4,7,0,0,0,2,2,0,1,500.0
274,3,0,0,4,8,3,5,5,1,0,1,2,17500.0
275,7,0,3,5,8,8,0,21,2,1,3,1,75000.0
276,2,2,4,5,8,16,6,1,1,1,0,3,1500.0
277,2,0,4,4,4,4,5,24,0,0,2,3,95000.0
278,2,0,4,0,8,0,0,1,2,0,1,1,1500.0
279,6,0,5,1,5,3,4,10,1,0,2,4,27500.0
280,4,0,4,0,0,16,5,10,2,0,3,2,27500.0
281,2,2,4,3,8,8,1,0,2,0,3,1,500.0
282,4,0,0,1,7,13,0,18,2,2,1,2,55000.0
283,7,2,1,1,5,0,5,21,3,1,2,3,75000.0
284,2,0,4,5,4,0,1,17,2,2,2,1,6250.0
285,4,0,5,5,7,10,5,0,2,1,0,2,500.0
286,3,0,0,4,5,7,4,4,3,0,2,3,137500.0
287,6,0,6,3,5,2,4,3,3,0,1,5,112500.0
288,0,2,0,0,8,0,1,0,1,2,1,4,500.0
289,4,0,1,5,8,0,0,7,2,0,3,3,2500.0
290,1,0,4,0,8,0,1,12,0,0,1,3,3500.0
291,8,0,1,2,0,4,1,21,0,2,0,1,75000.0
292,1,0,0,0,8,3,4,17,1,0,3,1,6250.0
293,3,2,4,4,8,3,6,7,0,1,1,4,2500.0
294,9,0,0,0,8,1,3,6,3,0,3,2,175000.0
295,6,0,1,5,8,15,4,23,2,0,0,1,85000.0
296,2,0,1,4,8,0,4,13,3,0,2,2,35000.0
297,0,2,4,0,0,5,6,0,2,2,0,3,500.0
298,4,0,1,1,6,1,5,24,2,0,0,7,95000.0
299,2,0,4,3,5,3,6,21,2,0,2,1,75000.0
300,4,2,4,3,5,3,4,4,3,0,2,1,137500.0
301,1,0,4,0,0,3,5,6,2,2,1,5,175000.0
302,2,0,4,0,8,3,0,8,2,0,1,3,22500.0
303,7,0,1,2,0,4,1,11,0,0,2,2,275000.0
304,6,0,1,1,2,5,1,16,0,0,2,3,45000.0
305,7,0,4,1,5,4,1,2,2,2,1,1,12500.0
306,4,0,0,5,0,8,6,10,2,0,0,1,27500.0
307,0,0,0,0,8,3,0,0,1,0,1,5,500.0
308,4,0,1,1,2,1,4,11,3,0,1,1,275000.0
309,2,0,4,0,2,0,6,20,2,0,2,2,65000.0
310,8,0,1,2,3,5,6,6,3,0,1,4,175000.0
311,5,0,0,0,7,5,0,23,2,0,3,1,85000.0
312,2,0,1,3,4,3,6,15,0,1,2,2,4500.0
313,1,0,4,5,0,3,1,15,1,0,0,2,4500.0
314,1,0,0,4,0,12,1,2,1,1,1,4,12500.0
315,9,0,0,4,0,5,6,16,0,0,0,4,45000.0
316,2,0,4,3,5,3,3,23,0,0,2,6,85000.0
317,1,0,4,3,7,3,1,10,1,2,0,1,27500.0
318,1,0,4,5,8,0,1,0,2,2,2,1,500.0
319,4,0,1,0,8,0,0,2,2,0,2,2,12500.0
320,4,0,1,1,4,0,4,23,3,0,3,4,85000.0
321,4,0,4,5,8,4,1,18,3,2,1,2,55000.0
322,3,0,4,5,7,11,5,7,2,0,3,2,2500.0
323,1,0,0,0,0,4,1,17,2,0,2,2,6250.0
324,4,0,5,5,8,10,0,11,2,2,3,1,275000.0
325,1,0,0,0,8,0,1,0,0,2,1,2,500.0
326,1,2,4,5,8,3,1,0,2,1,2,3,500.0
327,3,0,1,3,8,4,5,13,0,0,1,1,35000.0
328,3,0,6,5,8,16,0,0,2,0,0,1,500.0
329,4,2,4,5,7,2,4,16,0,0,1,2,45000.0
330,2,0,1,4,6,0,0,8,2,0,2,3,22500.0
331,1,0,0,0,8,0,5,5,2,2,0,2,17500.0
332,3,0,0,1,0,15,0,5,2,1,1,4,17500.0
333,5,0,1,5,8,5,0,1,2,0,2,4,1500.0
334,0,0,1,4,4,0,4,5,0,0,2,6,17500.0
335,4,0,0,5,8,0,0,0,2,2,0,2,500.0
336,2,0,0,5,7,3,0,0,2,2,1,2,500.0
337,3,0,4,1,8,5,0,2,2,0,3,1,12500.0
338,3,0,4,4,2,8,2,23,2,0,1,2,85000.0
339,2,0,4,4,6,3,3,20,2,1,2,4,65000.0
340,1,2,0,0,0,3,1,0,1,0,2,2,500.0
341,2,0,4,4,5,14,6,15,2,0,1,6,4500.0
342,1,0,0,0,0,3,0,0,2,2,2,3,500.0
343,1,0,4,0,8,3,2,22,1,0,0,4,8750.0
344,1,0,0,3,8,3,4,1,2,1,1,3,1500.0
345,7,0,4,4,4,6,5,23,3,1,2,2,85000.0
346,9,0,1,0,4,7,5,1,0,1,2,3,1500.0
347,5,0,4,5,7,8,4,2,0,0,1,1,12500.0
348,4,0,3,1,4,0,0,15,0,2,2,3,4500.0
349,3,0,1,3,0,10,4,0,2,0,0,4,500.0
350,2,0,4,3,5,1,3,15,2,0,2,3,4500.0
351,2,0,4,5,8,15,0,16,2,2,0,2,45000.0
352,5,0,5,1,2,0,4,21,2,0,2,2,75000.0
353,7,0,0,0,8,0,1,17,2,2,3,2,6250.0
354,0,0,0,0,0,3,2,22,1,0,2,2,8750.0
355,1,0,1,0,8,6,1,0,1,2,2,1,500.0
356,4,2,0,0,7,2,6,20,2,0,0,3,65000.0
357,1,0,0,5,7,0,2,12,1,0,1,2,3500.0
358,3,2,1,4,2,0,4,5,0,0,2,1,17500.0
359,0,2,3,0,8,0,5,0,2,2,0,2,500.0
360,2,2,0,3,8,15,0,12,2,0,1,3,3500.0
361,1,0,0,0,8,3,4,12,1,0,1,3,3500.0
362,8,0,0,2,8,4,2,6,2,0,3,4,175000.0
363,3,0,4,0,8,0,1,5,1,2,2,2,17500.0
364,2,0,0,3,4,1,1,7,2,0,2,6,2500.0
365,4,2,4,5,8,0,6,5,3,0,3,1,17500.0
366,3,0,4,3,8,0,2,5,0,0,0,1,17500.0
367,4,0,4,5,7,16,0,3,0,0,3,2,112500.0
368,4,0,4,0,0,9,1,0,2,2,0,2,500.0
369,3,2,1,0,7,0,0,0,2,0,1,4,500.0
370,2,0,4,4,5,1,4,5,2,0,2,3,17500.0
371,3,0,4,1,6,14,4,9,3,0,2,3,225000.0
372,4,0,0,4,8,8,4,22,1,0,1,4,8750.0
373,1,0,0,0,8,8,1,0,2,1,0,3,500.0
374,3,0,0,5,8,3,1,8,2,2,2,2,22500.0
375,2,0,4,5,8,0,6,0,1,1,2,3,500.0
376,3,0,4,5,8,14,4,2,1,0,1,2,12500.0
377,4,0,4,1,0,0,6,2,2,0,3,3,12500.0
378,4,2,1,3,7,0,5,20,3,1,2,2,65000.0
379,9,0,0,2,8,3,1,20,3,2,0,4,65000.0
380,4,0,1,3,4,14,5,5,2,2,2,2,17500.0
381,1,0,0,3,4,1,4,3,3,0,0,2,112500.0
382,1,0,4,0,8,0,5,1,2,2,2,4,1500.0
383,1,0,0,0,8,3,0,17,1,2,1,5,6250.0
384,1,0,4,4,2,3,3,10,0,0,2,3,27500.0
385,7,0,4,1,0,0,1,8,2,2,2,2,22500.0
386,5,0,6,0,8,17,1,16,0,0,0,2,45000.0
387,3,0,1,3,4,0,5,17,2,0,1,3,6250.0
388,6,0,0,1,7,3,0,21,2,0,0,1,75000.0
389,7,0,0,3,7,4,4,8,2,0,0,4,22500.0
390,3,0,1,5,8,5,0,0,2,0,1,1,500.0
391,0,0,4,5,7,13,4,22,2,0,0,1,8750.0
392,5,1,1,2,5,3,1,16,2,1,1,4,45000.0
393,4,0,1,5,0,0,3,0,3,1,2,1,500.0
394,3,0,4,3,8,17,0,13,0,0,0,2,35000.0
395,3,2,4,4,0,4,2,2,2,1,0,5,12500.0
396,1,0,0,3,4,2,1,10,0,1,1,2,27500.0
397,4,0,4,1,7,3,1,16,2,2,1,3,45000.0
398,2,0,4,3,7,8,4,17,1,0,3,2,6250.0
399,2,0,4,3,8,3,0,17,1,2,1,1,6250.0
400,3,1,4,3,8,0,1,22,1,2,1,8,8750.0
401,6,0,4,1,7,3,4,4,2,0,0,2,137500.0
402,2,2,1,3,4,0,1,20,2,2,2,5,65000.0
403,5,2,0,1,8,11,1,23,3,2,1,2,85000.0
404,9,0,4,2,5,5,1,4,3,2,1,4,137500.0
405,7,0,1,4,4,0,1,3,3,0,2,7,112500.0
406,1,2,4,3,0,0,6,0,2,2,0,4,500.0
407,5,0,0,2,4,0,5,7,0,0,0,4,2500.0
408,7,0,6,2,1,1,5,6,3,0,1,2,175000.0
409,9,0,4,2,3,16,5,23,0,0,2,3,85000.0
410,5,0,4,1,7,3,4,23,2,0,0,4,85000.0
411,4,0,4,4,6,3,1,3,0,2,2,3,112500.0
412,3,2,1,5,8,0,4,1,1,0,2,3,1500.0
413,4,0,4,4,6,15,4,21,0,2,3,4,75000.0
414,4,0,4,0,8,0,1,0,2,0,3,5,500.0
415,6,0,1,1,2,0,4,5,2,0,2,3,17500.0
416,2,2,4,5,7,3,0,2,1,1,0,2,12500.0
417,0,0,4,0,0,3,4,22,1,1,2,8,8750.0
418,1,2,0,3,2,0,5,0,2,1,1,3,500.0
419,1,2,4,5,8,0,5,0,2,2,1,3,500.0
420,3,0,4,0,7,2,6,13,0,1,0,2,35000.0
421,1,0,1,3,0,2,4,17,2,0,1,4,6250.0
422,5,0,1,4,5,3,1,2,2,2,1,2,12500.0
423,3,0,0,1,0,3,4,8,1,0,1,2,22500.0
424,3,0,4,3,0,14,1,0,2,2,0,3,500.0
425,7,0,0,2,5,1,1,14,3,0,1,5,400000.0
426,6,0,4,4,6,1,4,3,0,0,2,2,112500.0
427,6,1,1,2,3,3,4,6,3,0,2,2,175000.0
428,5,0,4,4,2,14,6,6,3,0,1,2,175000.0
429,8,0,4,2,3,1,4,19,3,0,2,1,750000.0
430,4,0,1,1,6,14,5,0,2,1,3,1,500.0
431,1,2,0,3,8,0,5,0,1,2,1,4,500.0
432,6,0,4,2,5,15,4,11,3,0,3,3,275000.0
433,2,2,1,0,2,3,5,15,3,1,2,3,4500.0
434,4,0,4,1,2,5,5,22,2,0,0,4,8750.0
435,1,0,0,0,8,3,6,12,2,2,0,4,3500.0
436,3,0,4,0,0,9,1,10,0,2,0,4,27500.0
437,3,0,6,0,8,3,1,0,2,1,0,1,500.0
438,2,0,0,5,8,9,1,13,2,2,0,2,35000.0
439,3,2,4,0,0,4,0,17,2,0,3,2,6250.0
440,2,0,4,0,2,13,1,0,2,2,3,2,500.0
441,0,0,2,5,7,0,1,0,2,2,1,4,500.0
442,3,2,4,5,8,4,1,0,2,0,0,2,500.0
443,5,0,1,2,1,1,6,8,0,2,2,1,22500.0
444,4,0,0,4,8,3,4,16,1,0,3,2,45000.0
445,3,0,4,0,4,15,1,2,1,0,2,2,12500.0
446,3,0,4,3,2,2,5,13,2,2,2,3,35000.0
447,1,0,0,0,8,16,1,22,2,2,1,4,8750.0
448,5,0,4,3,4,3,2,22,0,0,1,6,8750.0
449,3,2,4,3,0,9,4,22,2,1,0,1,8750.0
450,4,0,0,0,0,0,0,0,2,2,1,5,500.0
