,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary
22,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"1,000-1,999"
23,30-34,Man,Indonesia,Master’s degree,Student,1-3 years,1,No experience,,,,nan
24,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years,3,5-10 years,Computers/Technology,0-49 employees,1-2,"100,000-124,999"
25,18-21,Man,India,Bachelor’s degree,Student,1-3 years,6,1-2 years,,,,nan
26,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,2,Under 1 year,Computers/Technology,0-49 employees,3-4,"25,000-29,999"
27,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years,2,Under 1 year,Academics/Education,50-249 employees,0,0-999
28,22-24,Man,China,Master’s degree,Student,3-5 years,3,1-2 years,,,,nan
29,22-24,Woman,Iran,Bachelor’s degree,Data Scientist,3-5 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999
30,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,No experience,,,,nan
31,22-24,Man,India,Bachelor’s degree,Other,1-3 years,1,No experience,Computers/Technology,"1000-9,999 employees",0,"7,500-9,999"
32,30-34,Man,India,Master’s degree,Data Scientist,5-10 years,3,5-10 years,Insurance/Risk Assessment,250-999 employees,20+,"100,000-124,999"
33,22-24,Other,USA,Some college no bachelor,Data Analyst,< 1 years,1,No experience,Manufacturing/Fabrication,250-999 employees,3-4,nan
34,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,1,No experience,Non-profit/Service,0-49 employees,0,"7,500-9,999"
35,22-24,Man,India,Bachelor’s degree,Student,1-3 years,6,Under 1 year,,,,nan
36,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed,< 1 years,3,Under 1 year,,,,nan
37,25-29,Woman,Egypt,Master’s degree,Currently not employed,< 1 years,2,Under 1 year,,,,nan
38,30-34,Man,Brazil,Bachelor’s degree,Student,3-5 years,3,No experience,,,,nan
39,22-24,Man,Japan,High school,Software Engineer,3-5 years,4,No experience,Computers/Technology,0-49 employees,0,"2,000-2,999"
40,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
41,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years,2,2-3 years,Insurance/Risk Assessment,"10,000 or more employees",10-14,nan
42,25-29,Man,Italy,Master’s degree,Other,1-3 years,2,Under 1 year,Energy/Mining,0-49 employees,1-2,"30,000-39,999"
43,55-59,Man,USA,Master’s degree,Software Engineer,10-20 years,3,3-4 years,Computers/Technology,0-49 employees,3-4,"15,000-19,999"
44,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Academics/Education,50-249 employees,1-2,"4,000-4,999"
45,18-21,Man,USA,Some college no bachelor,Student,1-3 years,4,Under 1 year,,,,nan
46,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years,3,1-2 years,Accounting/Finance,50-249 employees,5-9,"100,000-124,999"
47,22-24,Man,China,Some college no bachelor,Data Analyst,< 1 years,7,1-2 years,Computers/Technology,0-49 employees,0,0-999
48,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
49,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,6,2-3 years,Hospitality/Entertainment/Sports,"10,000 or more employees",3-4,"1,000-1,999"
50,30-34,Woman,USA,Master’s degree,Data Scientist,5-10 years,2,4-5 years,Other,"10,000 or more employees",10-14,"100,000-124,999"
51,25-29,Man,Peru,Some college no bachelor,Currently not employed,< 1 years,3,Under 1 year,,,,nan
52,40-44,Man,USA,Bachelor’s degree,Research Scientist,< 1 years,1,No experience,Manufacturing/Fabrication,"1000-9,999 employees",1-2,"70,000-79,999"
53,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Manufacturing/Fabrication,250-999 employees,1-2,"25,000-29,999"
54,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,3,1-2 years,Accounting/Finance,50-249 employees,0,"60,000-69,999"
55,30-34,Man,Spain,Master’s degree,Currently not employed,1-3 years,3,No experience,,,,nan
56,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years,2,2-3 years,Computers/Technology,250-999 employees,10-14,"7,500-9,999"
57,30-34,Woman,Indonesia,Master’s degree,Student,1-3 years,1,,,,,nan
58,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years,2,No experience,Academics/Education,"1000-9,999 employees",3-4,0-999
59,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,3,1-2 years,Computers/Technology,50-249 employees,20+,0-999
60,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,2,1-2 years,Government/Public Service,"10,000 or more employees",0,"2,000-2,999"
61,18-21,Man,Japan,Some college no bachelor,Student,< 1 years,1,Under 1 year,,,,nan
62,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,Under 1 year,Computers/Technology,0-49 employees,0,0-999
63,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years,3,4-5 years,Online Service/Internet-based Services,250-999 employees,5-9,"40,000-49,999"
64,18-21,Man,India,Bachelor’s degree,Student,< 1 years,3,Under 1 year,,,,nan
65,18-21,Man,India,Bachelor’s degree,Student,1-3 years,3,Under 1 year,,,,nan
66,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years,4,1-2 years,Accounting/Finance,0-49 employees,10-14,0-999
67,30-34,Other,China,I prefer not to answer,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,0,0-999
68,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,1,1-2 years,Online Service/Internet-based Services,"1000-9,999 employees",1-2,"7,500-9,999"
69,35-39,Man,India,Bachelor’s degree,Other,< 1 years,2,1-2 years,Online Business/Internet-based Sales,0-49 employees,1-2,"2,000-2,999"
70,40-44,Man,UK,Master’s degree,Other,20+ years,2,Under 1 year,Online Service/Internet-based Services,250-999 employees,5-9,"50,000-59,999"
71,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years,3,Under 1 year,,,,nan
72,22-24,Man,Mexico,Some college no bachelor,Other,3-5 years,2,Under 1 year,Online Business/Internet-based Sales,0-49 employees,0,"5,000-7,499"
73,30-34,Woman,Iran,Master’s degree,Software Engineer,5-10 years,2,No experience,Computers/Technology,"1000-9,999 employees",20+,"3,000-3,999"
74,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years,2,1-2 years,Academics/Education,250-999 employees,5-9,"3,000-3,999"
75,22-24,Man,Brazil,Master’s degree,Student,5-10 years,2,2-3 years,,,,nan
76,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years,3,2-3 years,Manufacturing/Fabrication,0-49 employees,1-2,"3,000-3,999"
77,50-54,Man,USA,Master’s degree,Data Engineer,20+ years,2,No experience,Computers/Technology,"10,000 or more employees",1-2,"300,000-499,999"
78,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,"20,000-24,999"
79,25-29,Man,Switzerland,Doctoral degree,Student,5-10 years,2,2-3 years,,,,nan
80,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years,5,No experience,,,,nan
81,35-39,Man,USA,Professional doctorate,Research Scientist,10-20 years,6,5-10 years,Medical/Pharmaceutical,"10,000 or more employees",20+,"200,000-249,999"
82,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,5,3-4 years,Computers/Technology,50-249 employees,1-2,"50,000-59,999"
83,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,"20,000-24,999"
84,18-21,Man,India,Master’s degree,Student,1-3 years,1,Under 1 year,,,,nan
85,25-29,Man,Algeria,Professional doctorate,Student,No experience,0,,,,,nan
86,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,4,No experience,,,,nan
87,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Retail/Sales,"10,000 or more employees",20+,"20,000-24,999"
88,25-29,Man,USA,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Online Service/Internet-based Services,"1000-9,999 employees",5-9,"70,000-79,999"
89,25-29,Woman,Italy,Bachelor’s degree,Student,1-3 years,2,1-2 years,,,,nan
90,55-59,Man,USA,Bachelor’s degree,Software Engineer,20+ years,5,5-10 years,Other,50-249 employees,20+,"125,000-149,999"
91,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",10-14,"10,000-14,999"
92,30-34,Man,USA,Master’s degree,Business Analyst,1-3 years,2,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,"60,000-69,999"
93,22-24,Man,Sweden,Master’s degree,Student,5-10 years,3,1-2 years,,,,nan
94,55-59,Man,USA,Bachelor’s degree,Other,1-3 years,2,No experience,Medical/Pharmaceutical,"1000-9,999 employees",5-9,"70,000-79,999"
95,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999
96,30-34,Man,Colombia,Bachelor’s degree,Student,5-10 years,3,1-2 years,,,,nan
97,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Academics/Education,"1000-9,999 employees",20+,"10,000-14,999"
98,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years,4,3-4 years,Non-profit/Service,0-49 employees,0,"40,000-49,999"
99,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,2,No experience,,,,nan
100,22-24,Man,India,Master’s degree,Student,< 1 years,3,No experience,,,,nan
101,18-21,Woman,Singapore,Some college no bachelor,Student,< 1 years,1,No experience,,,,nan
102,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,2,No experience,Computers/Technology,"10,000 or more employees",5-9,"7,500-9,999"
103,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,250-999 employees,1-2,"1,000-1,999"
104,25-29,Man,Other,Bachelor’s degree,Data Scientist,1-3 years,3,Under 1 year,Academics/Education,0-49 employees,1-2,"4,000-4,999"
105,40-44,Woman,USA,Master’s degree,Other,5-10 years,1,4-5 years,Academics/Education,50-249 employees,5-9,"25,000-29,999"
106,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years,4,No experience,Online Service/Internet-based Services,0-49 employees,0,"25,000-29,999"
107,30-34,Man,India,Master’s degree,Data Analyst,1-3 years,2,No experience,Computers/Technology,"10,000 or more employees",20+,nan
108,55-59,Man,USA,Master’s degree,Data Scientist,20+ years,5,1-2 years,Medical/Pharmaceutical,"1000-9,999 employees",20+,"100,000-124,999"
109,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years,2,No experience,Manufacturing/Fabrication,250-999 employees,5-9,"100,000-124,999"
110,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",20+,"1,000-1,999"
111,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years,1,Under 1 year,,,,nan
112,22-24,Woman,Sweden,Master’s degree,Student,< 1 years,2,No experience,,,,nan
113,45-49,Man,Poland,Master’s degree,Other,1-3 years,1,1-2 years,Insurance/Risk Assessment,"10,000 or more employees",20+,"50,000-59,999"
114,30-34,Woman,Canada,I prefer not to answer,Currently not employed,< 1 years,1,Under 1 year,,,,nan
115,18-21,Man,Other,Bachelor’s degree,Other,1-3 years,3,No experience,Academics/Education,0-49 employees,0,nan
116,60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 years,5,3-4 years,Computers/Technology,0-49 employees,5-9,"10,000-14,999"
117,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years,2,No experience,Energy/Mining,250-999 employees,0,"10,000-14,999"
118,40-44,Man,Indonesia,Master’s degree,Currently not employed,20+ years,6,No experience,,,,nan
119,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,2,,,,,nan
120,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years,3,2-3 years,Broadcasting/Communications,"10,000 or more employees",20+,"30,000-39,999"
121,18-21,Man,Other,Some college no bachelor,Data Engineer,3-5 years,1,2-3 years,Government/Public Service,250-999 employees,3-4,nan
122,70+,Man,USA,Master’s degree,Other,3-5 years,1,2-3 years,Energy/Mining,0-49 employees,1-2,"250,000-299,999"
123,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,4,5-10 years,Computers/Technology,"10,000 or more employees",20+,"60,000-69,999"
124,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years,2,5-10 years,Medical/Pharmaceutical,50-249 employees,20+,"30,000-39,999"
125,60-69,Man,India,Master’s degree,Other,1-3 years,2,Under 1 year,Other,"10,000 or more employees",0,0-999
126,25-29,Man,Egypt,Bachelor’s degree,Student,1-3 years,1,Under 1 year,,,,nan
127,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years,4,No experience,Academics/Education,50-249 employees,5-9,"40,000-49,999"
128,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years,2,5-10 years,Academics/Education,0-49 employees,3-4,"100,000-124,999"
129,22-24,Man,Other,Some college no bachelor,Software Engineer,< 1 years,4,Under 1 year,Academics/Education,0-49 employees,0,0-999
130,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,2,Under 1 year,Academics/Education,"1000-9,999 employees",0,"50,000-59,999"
131,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years,2,2-3 years,Energy/Mining,"1000-9,999 employees",5-9,"40,000-49,999"
132,18-21,Man,Egypt,Some college no bachelor,Machine Learning Engineer,1-3 years,1,No experience,Online Business/Internet-based Sales,50-249 employees,3-4,"4,000-4,999"
133,25-29,Man,Netherlands,Master’s degree,Currently not employed,5-10 years,3,Under 1 year,,,,nan
134,35-39,Man,Ukraine,Doctoral degree,Currently not employed,< 1 years,1,Under 1 year,,,,nan
135,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years,3,No experience,Computers/Technology,0-49 employees,0,"40,000-49,999"
136,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years,1,2-3 years,Marketing/CRM,"1000-9,999 employees",20+,"25,000-29,999"
137,18-21,Woman,Turkey,Master’s degree,Student,1-3 years,1,Under 1 year,,,,nan
138,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,1-2 years,,,,nan
139,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years,2,1-2 years,Marketing/CRM,50-249 employees,3-4,0-999
140,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years,6,5-10 years,Computers/Technology,50-249 employees,3-4,"10,000-14,999"
141,18-21,Man,Russia,Some college no bachelor,Student,3-5 years,2,Under 1 year,,,,nan
142,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999
143,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years,1,No experience,Accounting/Finance,50-249 employees,10-14,0-999
144,25-29,Man,Pakistan,Some college no bachelor,Student,< 1 years,2,Under 1 year,,,,nan
145,35-39,Man,South Africa,Master’s degree,Data Engineer,10-20 years,2,,,,,nan
146,18-21,Man,India,Bachelor’s degree,Student,< 1 years,2,No experience,,,,nan
147,40-44,Man,UK,Bachelor’s degree,Data Engineer,10-20 years,3,2-3 years,Non-profit/Service,"10,000 or more employees",20+,"80,000-89,999"
148,22-24,Man,USA,Master’s degree,Student,5-10 years,1,3-4 years,,,,nan
149,30-34,Woman,Russia,Bachelor’s degree,Student,< 1 years,2,No experience,,,,nan
150,25-29,Man,Other,Bachelor’s degree,Student,< 1 years,2,Under 1 year,,,,nan
151,70+,Woman,USA,Master’s degree,Data Analyst,20+ years,2,1-2 years,Government/Public Service,"1000-9,999 employees",3-4,"100,000-124,999"
152,22-24,Woman,India,I prefer not to answer,Student,5-10 years,1,1-2 years,,,,nan
153,18-21,Man,Romania,Bachelor’s degree,Student,3-5 years,5,No experience,,,,nan
154,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999
155,18-21,Woman,Egypt,Bachelor’s degree,Student,< 1 years,2,,,,,nan
156,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years,5,1-2 years,Energy/Mining,250-999 employees,1-2,"90,000-99,999"
157,22-24,Woman,India,Bachelor’s degree,Student,3-5 years,5,1-2 years,,,,nan
158,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years,6,2-3 years,Computers/Technology,50-249 employees,1-2,"5,000-7,499"
159,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Insurance/Risk Assessment,"10,000 or more employees",5-9,"125,000-149,999"
160,22-24,Woman,India,Master’s degree,Student,3-5 years,1,No experience,,,,nan
161,50-54,Man,Other,Master’s degree,Data Scientist,20+ years,5,,,,,nan
162,60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ years,1,20 or more years,Accounting/Finance,0-49 employees,3-4,0-999
163,30-34,Man,Spain,Some college no bachelor,Software Engineer,< 1 years,2,No experience,Computers/Technology,50-249 employees,1-2,"25,000-29,999"
164,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years,4,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999
165,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years,2,No experience,Online Service/Internet-based Services,0-49 employees,0,"100,000-124,999"
166,25-29,Man,Nigeria,Some college no bachelor,Program/Project Manager,3-5 years,1,No experience,Computers/Technology,0-49 employees,0,0-999
167,22-24,Man,USA,Bachelor’s degree,Currently not employed,1-3 years,4,Under 1 year,,,,nan
168,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years,3,Under 1 year,Insurance/Risk Assessment,250-999 employees,3-4,"125,000-149,999"
169,22-24,Man,UK,Bachelor’s degree,Student,1-3 years,2,1-2 years,,,,nan
170,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",20+,"100,000-124,999"
171,60-69,Man,USA,Master’s degree,Product Manager,20+ years,3,2-3 years,Computers/Technology,0-49 employees,1-2,"80,000-89,999"
172,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",3-4,0-999
173,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,3,1-2 years,Computers/Technology,250-999 employees,1-2,"10,000-14,999"
174,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,0,"7,500-9,999"
175,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",10-14,0-999
176,40-44,Woman,Bangladesh,Master’s degree,Currently not employed,5-10 years,3,No experience,,,,nan
177,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years,1,Under 1 year,Academics/Education,250-999 employees,1-2,0-999
178,35-39,Man,Japan,Bachelor’s degree,Other,10-20 years,2,1-2 years,,,,nan
179,22-24,Woman,Taiwan,Master’s degree,Currently not employed,1-3 years,1,1-2 years,,,,nan
180,25-29,Man,India,Master’s degree,Currently not employed,1-3 years,1,Under 1 year,,,,nan
181,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years,4,2-3 years,Computers/Technology,0-49 employees,1-2,"10,000-14,999"
182,18-21,Man,India,Bachelor’s degree,Student,1-3 years,4,,,,,nan
183,22-24,Woman,Tunisia,Master’s degree,Student,< 1 years,3,Under 1 year,,,,nan
184,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years,3,1-2 years,Energy/Mining,"1000-9,999 employees",1-2,"25,000-29,999"
185,30-34,Man,USA,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Online Business/Internet-based Sales,0-49 employees,1-2,"250,000-299,999"
186,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,4,2-3 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,"5,000-7,499"
187,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years,7,1-2 years,Other,250-999 employees,20+,"25,000-29,999"
188,60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 years,1,Under 1 year,Other,0-49 employees,1-2,0-999
189,30-34,Man,India,Bachelor’s degree,Other,5-10 years,2,1-2 years,Computers/Technology,"10,000 or more employees",1-2,"30,000-39,999"
190,30-34,Man,USA,Master’s degree,Business Analyst,No experience,0,,Accounting/Finance,"1000-9,999 employees",1-2,"100,000-124,999"
191,40-44,Man,Japan,Bachelor’s degree,Business Analyst,No experience,0,,Manufacturing/Fabrication,"10,000 or more employees",5-9,"70,000-79,999"
192,55-59,Man,USA,Master’s degree,Data Scientist,20+ years,2,5-10 years,Broadcasting/Communications,"10,000 or more employees",20+,"200,000-249,999"
193,18-21,Man,India,Bachelor’s degree,Student,1-3 years,2,1-2 years,,,,nan
194,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years,2,4-5 years,Marketing/CRM,50-249 employees,10-14,"60,000-69,999"
195,40-44,Man,Australia,Master’s degree,Software Engineer,20+ years,3,Under 1 year,,,,nan
196,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist,1-3 years,2,,,,,nan
197,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Retail/Sales,50-249 employees,5-9,0-999
198,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years,1,Under 1 year,Shipping/Transportation,0-49 employees,1-2,"25,000-29,999"
199,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years,3,Under 1 year,Computers/Technology,50-249 employees,3-4,"20,000-24,999"
200,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years,2,4-5 years,Academics/Education,50-249 employees,1-2,"4,000-4,999"
201,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years,3,No experience,Broadcasting/Communications,0-49 employees,0,"15,000-19,999"
202,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,1,3-4 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,"60,000-69,999"
203,22-24,Man,India,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
204,30-34,Man,USA,Some college no bachelor,Other,< 1 years,1,Under 1 year,Shipping/Transportation,"10,000 or more employees",20+,"40,000-49,999"
205,22-24,Man,India,Master’s degree,Software Engineer,5-10 years,2,1-2 years,Online Service/Internet-based Services,"10,000 or more employees",5-9,nan
206,30-34,Man,USA,Master’s degree,Data Scientist,1-3 years,2,,,,,nan
207,18-21,Man,Belarus,High school,Student,< 1 years,2,No experience,,,,nan
208,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,1,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",20+,"10,000-14,999"
209,18-21,Man,India,Bachelor’s degree,Student,1-3 years,6,Under 1 year,,,,nan
210,45-49,Man,South Africa,Bachelor’s degree,Currently not employed,3-5 years,2,Under 1 year,,,,nan
211,35-39,Man,Egypt,Master’s degree,Student,10-20 years,2,Under 1 year,,,,nan
212,30-34,Other,Mexico,Doctoral degree,Student,5-10 years,2,1-2 years,,,,nan
213,55-59,Man,Brazil,Some college no bachelor,Other,20+ years,7,1-2 years,Computers/Technology,50-249 employees,0,"1,000-1,999"
214,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,2,No experience,,,,nan
215,18-21,Man,India,Bachelor’s degree,Student,1-3 years,2,No experience,,,,nan
216,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years,1,4-5 years,Academics/Education,"1000-9,999 employees",5-9,"60,000-69,999"
217,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years,4,Under 1 year,Shipping/Transportation,"1000-9,999 employees",20+,"1,000-1,999"
218,18-21,Other,India,Bachelor’s degree,Student,1-3 years,1,Under 1 year,,,,nan
219,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years,4,4-5 years,Computers/Technology,"10,000 or more employees",20+,"30,000-39,999"
220,18-21,Woman,India,Master’s degree,Student,1-3 years,5,Under 1 year,,,,nan
221,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"10,000-14,999"
222,60-69,Man,USA,Master’s degree,Student,10-20 years,1,Under 1 year,,,,nan
223,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years,3,2-3 years,Retail/Sales,250-999 employees,3-4,"20,000-24,999"
224,70+,Man,Australia,Master’s degree,Other,20+ years,4,20 or more years,Computers/Technology,"10,000 or more employees",1-2,"5,000-7,499"
225,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years,2,Under 1 year,Other,0-49 employees,0,0-999
