,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
74,30-34,Man,Poland,Master’s degree,2,5-10 years,Medical/Pharmaceutical,Medium,35000.0,Data Scientist
75,40-44,Man,France,Doctoral degree,4,No experience,Academics/Education,Medium,45000.0,Data Scientist
78,30-34,Man,Sweden,Doctoral degree,2,Under 1 year,Academics/Education,Large,55000.0,Data Scientist
83,25-29,Woman,India,Bachelor’s degree,2,1-2 years,Marketing/CRM,Medium,500.0,Data Engineer
85,25-29,Man,India,Master’s degree,1,Under 1 year,Computers/Technology,Small,500.0,Data Scientist
87,40-44,Man,UK,Bachelor’s degree,3,2-3 years,Non-profit/Service,Large,85000.0,Data Engineer
88,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Small,500.0,Data Scientist
92,30-34,Man,Spain,Some college,2,No experience,Computers/Technology,Medium,27500.0,Data Engineer
96,45-49,Man,Austria,Master’s degree,3,Under 1 year,Insurance/Risk Assessment,Large,137500.0,Data Analyst
98,22-24,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,500.0,Data Engineer
99,30-34,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Large,12500.0,Data Engineer
101,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
108,30-34,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,35000.0,Other
110,30-34,Woman,Sweden,Doctoral degree,2,4-5 years,Marketing/CRM,Medium,65000.0,Data Scientist
112,40-44,Man,Russia,Bachelor’s degree,1,Under 1 year,Shipping/Transportation,Small,27500.0,Data Analyst
115,30-34,Man,Russia,Bachelor’s degree,3,No experience,Broadcasting/Communications,Small,17500.0,Data Engineer
116,30-34,Man,India,Master’s degree,1,3-4 years,Online Business/Internet-based Sales,Large,65000.0,Data Scientist
117,30-34,Man,USA,Some college,1,Under 1 year,Shipping/Transportation,Large,45000.0,Other
118,22-24,Man,France,Master’s degree,1,1-2 years,Manufacturing/Fabrication,Large,12500.0,Data Scientist
120,35-39,Woman,Ireland,Doctoral degree,1,4-5 years,Academics/Education,Large,65000.0,Data Scientist
122,30-34,Man,India,Doctoral degree,4,4-5 years,Computers/Technology,Large,35000.0,Data Engineer
123,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,12500.0,Data Analyst
126,45-49,Man,Portugal,High school,1,Under 1 year,Other,Large,12500.0,Other
130,25-29,Man,India,Bachelor’s degree,3,1-2 years,Manufacturing/Fabrication,Large,12500.0,Data Scientist
131,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,4500.0,Data Scientist
134,50-54,Man,Austria,High school,3,No experience,Shipping/Transportation,Large,75000.0,Data Engineer
136,40-44,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Large,2500.0,Data Engineer
137,35-39,Man,France,Master’s degree,1,Under 1 year,Energy/Mining,Large,65000.0,Data Scientist
138,25-29,Man,Spain,Master’s degree,2,1-2 years,Other,Large,35000.0,Data Engineer
139,22-24,Man,Ukraine,Doctoral degree,4,3-4 years,Other,Small,500.0,Data Analyst
140,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Online Business/Internet-based Sales,Small,500.0,Data Scientist
141,22-24,Man,USA,Master’s degree,2,No experience,Computers/Technology,Large,75000.0,Other
142,35-39,Woman,India,Doctoral degree,2,No experience,Academics/Education,Small,1500.0,Data Scientist
144,30-34,Man,India,Bachelor’s degree,2,4-5 years,Computers/Technology,Large,35000.0,Data Engineer
147,30-34,Man,Denmark,Doctoral degree,3,5-10 years,Retail/Sales,Medium,112500.0,Data Scientist
148,25-29,Woman,India,Bachelor’s degree,3,No experience,Energy/Mining,Large,6250.0,Data Analyst
151,25-29,Woman,India,Master’s degree,2,Under 1 year,Online Business/Internet-based Sales,Large,500.0,Data Analyst
152,45-49,Man,Germany,Master’s degree,3,Under 1 year,Government/Public Service,Large,112500.0,Data Analyst
160,35-39,Woman,USA,Master’s degree,4,5-10 years,Computers/Technology,Small,175000.0,Data Scientist
161,35-39,Man,Russia,Bachelor’s degree,1,No experience,Manufacturing/Fabrication,Large,22500.0,Other
165,30-34,Woman,India,Master’s degree,3,5-10 years,Computers/Technology,Large,8750.0,Data Scientist
166,25-29,Other,Germany,Doctoral degree,4,3-4 years,Academics/Education,Large,55000.0,Data Scientist
167,25-29,Man,India,Bachelor’s degree,2,No experience,Academics/Education,Medium,3500.0,Data Engineer
168,45-49,Man,India,Master’s degree,2,20 or more years,Other,Medium,27500.0,Data Scientist
169,30-34,Man,UK,Bachelor’s degree,1,2-3 years,Computers/Technology,Large,75000.0,Data Engineer
174,25-29,Man,India,Master’s degree,1,3-4 years,Computers/Technology,Large,27500.0,Data Scientist
178,35-39,Man,Sweden,Doctoral degree,3,2-3 years,Academics/Education,Small,4500.0,Data Scientist
179,40-44,Man,France,Doctoral degree,2,No experience,Computers/Technology,Small,45000.0,Data Scientist
180,25-29,Man,India,Bachelor’s degree,2,1-2 years,Insurance/Risk Assessment,Small,12500.0,Data Scientist
182,45-49,Man,Russia,Master’s degree,2,1-2 years,Computers/Technology,Small,500.0,Data Analyst
185,25-29,Woman,Italy,Master’s degree,3,Under 1 year,Academics/Education,Large,1500.0,Data Analyst
187,50-54,Man,Portugal,Doctoral degree,4,1-2 years,Computers/Technology,Medium,27500.0,Data Scientist
188,30-34,Man,India,Master’s degree,3,Under 1 year,Academics/Education,Medium,500.0,Data Scientist
189,55-59,Man,Netherlands,Doctoral degree,3,20 or more years,Other,Medium,75000.0,Data Scientist
191,25-29,Man,India,Master’s degree,3,3-4 years,Manufacturing/Fabrication,Large,22500.0,Data Scientist
193,30-34,Man,India,Bachelor’s degree,2,4-5 years,Computers/Technology,Large,2500.0,Data Engineer
194,30-34,Man,USA,Master’s degree,4,5-10 years,Insurance/Risk Assessment,Large,175000.0,Data Scientist
196,40-44,Man,India,Master’s degree,2,Under 1 year,Academics/Education,Large,500.0,Data Engineer
197,35-39,Man,India,Doctoral degree,2,Under 1 year,Computers/Technology,Small,3500.0,Data Engineer
199,22-24,Man,Poland,Master’s degree,1,No experience,Accounting/Finance,Medium,1500.0,Data Analyst
200,35-39,Man,USA,Bachelor’s degree,3,Under 1 year,Retail/Sales,Large,75000.0,Data Analyst
205,25-29,Woman,India,Bachelor’s degree,3,1-2 years,Medical/Pharmaceutical,Large,12500.0,Data Analyst
213,35-39,Man,USA,Master’s degree,2,5-10 years,Accounting/Finance,Small,112500.0,Data Scientist
214,50-54,Woman,USA,Professional doctorate,4,2-3 years,Computers/Technology,Small,95000.0,Data Scientist
216,50-54,Man,Spain,Bachelor’s degree,1,1-2 years,Online Service/Internet-based Services,Medium,65000.0,Data Analyst
217,50-54,Man,USA,Bachelor’s degree,3,5-10 years,Energy/Mining,Large,175000.0,Data Analyst
218,35-39,Man,Greece,Doctoral degree,3,5-10 years,Shipping/Transportation,Medium,17500.0,Data Scientist
223,25-29,Man,Russia,Master’s degree,2,Under 1 year,Energy/Mining,Large,17500.0,Data Scientist
224,18-21,Woman,USA,Master’s degree,4,Under 1 year,Other,Small,500.0,Other
226,22-24,Man,UK,Master’s degree,1,No experience,Retail/Sales,Medium,2500.0,Data Engineer
227,22-24,Man,India,Bachelor’s degree,3,2-3 years,Government/Public Service,Large,12500.0,Data Analyst
228,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,500.0,Data Scientist
236,30-34,Woman,USA,Bachelor’s degree,2,No experience,Manufacturing/Fabrication,Small,27500.0,Data Analyst
242,22-24,Man,India,Bachelor’s degree,3,1-2 years,Accounting/Finance,Large,22500.0,Data Engineer
243,22-24,Man,Spain,Some college,2,No experience,Academics/Education,Small,500.0,Other
246,30-34,Man,India,Doctoral degree,1,1-2 years,Academics/Education,Large,3500.0,Data Scientist
248,30-34,Man,USA,Bachelor’s degree,2,2-3 years,Online Service/Internet-based Services,Large,175000.0,Data Analyst
249,22-24,Man,India,Master’s degree,1,Under 1 year,Accounting/Finance,Large,6250.0,Data Engineer
250,35-39,Woman,India,Master’s degree,3,1-2 years,Broadcasting/Communications,Large,12500.0,Data Engineer
252,40-44,Man,India,Master’s degree,4,3-4 years,Computers/Technology,Large,3500.0,Data Scientist
253,30-34,Man,USA,Bachelor’s degree,1,1-2 years,Accounting/Finance,Small,112500.0,Data Analyst
254,25-29,Man,USA,Master’s degree,2,1-2 years,Computers/Technology,Large,137500.0,Data Analyst
256,35-39,Man,USA,Master’s degree,4,5-10 years,Computers/Technology,Medium,137500.0,Data Analyst
257,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,12500.0,Data Scientist
259,30-34,Woman,UK,Bachelor’s degree,2,Under 1 year,Online Business/Internet-based Sales,Medium,22500.0,Data Analyst
261,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,17500.0,Data Engineer
263,25-29,Woman,India,Master’s degree,3,Under 1 year,Retail/Sales,Medium,1500.0,Data Analyst
264,25-29,Man,Austria,Master’s degree,3,3-4 years,Energy/Mining,Large,95000.0,Data Scientist
266,45-49,Man,India,Professional doctorate,4,4-5 years,Computers/Technology,Large,27500.0,Data Scientist
270,50-54,Woman,USA,Doctoral degree,3,4-5 years,Academics/Education,Medium,75000.0,Data Scientist
273,30-34,Man,USA,Bachelor’s degree,3,4-5 years,Insurance/Risk Assessment,Large,137500.0,Data Scientist
275,18-21,Woman,India,Bachelor’s degree,4,Under 1 year,Academics/Education,Small,500.0,Data Engineer
277,22-24,Man,Russia,Master’s degree,3,Under 1 year,Academics/Education,Large,3500.0,Data Engineer
278,55-59,Man,Sweden,Doctoral degree,1,1-2 years,Energy/Mining,Small,75000.0,Data Analyst
279,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,6250.0,Other
280,30-34,Woman,Italy,Master’s degree,4,Under 1 year,Computers/Technology,Medium,2500.0,Data Engineer
282,25-29,Man,USA,Doctoral degree,2,Under 1 year,Academics/Education,Large,35000.0,Data Scientist
286,35-39,Woman,USA,Master’s degree,1,4-5 years,Computers/Technology,Large,137500.0,Data Scientist
290,45-49,Man,Italy,Doctoral degree,3,2-3 years,Government/Public Service,Large,45000.0,Data Scientist
296,55-59,Man,USA,Doctoral degree,4,20 or more years,Government/Public Service,Large,175000.0,Data Engineer
298,25-29,Man,Russia,Doctoral degree,2,3-4 years,Computers/Technology,Medium,4500.0,Data Scientist
299,22-24,Man,India,Master’s degree,2,1-2 years,Computers/Technology,Large,4500.0,Data Analyst
300,22-24,Man,India,Bachelor’s degree,4,1-2 years,Non-profit/Service,Medium,12500.0,Data Engineer
302,22-24,Man,India,Master’s degree,1,No experience,Computers/Technology,Small,27500.0,Data Analyst
305,35-39,Man,USA,Doctoral degree,4,3-4 years,Academics/Education,Large,85000.0,Other
306,35-39,Man,USA,Master’s degree,2,Under 1 year,Energy/Mining,Small,55000.0,Data Engineer
310,22-24,Man,Germany,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,500.0,Data Engineer
312,30-34,Man,Italy,Doctoral degree,1,Under 1 year,Energy/Mining,Large,35000.0,Data Engineer
314,35-39,Woman,UK,Master’s degree,2,No experience,Broadcasting/Communications,Large,45000.0,Data Engineer
325,22-24,Woman,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,500.0,Data Scientist
328,22-24,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Large,8750.0,Data Analyst
330,50-54,Man,USA,Master’s degree,2,3-4 years,Hospitality/Entertainment/Sports,Medium,85000.0,Data Scientist
331,40-44,Man,Russia,Master’s degree,1,No experience,Manufacturing/Fabrication,Large,12500.0,Data Engineer
332,35-39,Man,Russia,I prefer not to answer,3,3-4 years,Academics/Education,Small,4500.0,Data Scientist
338,18-21,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,8750.0,Data Scientist
339,22-24,Man,India,Doctoral degree,1,Under 1 year,Hospitality/Entertainment/Sports,Small,500.0,Data Scientist
341,22-24,Man,India,Bachelor’s degree,2,No experience,Academics/Education,Large,3500.0,Data Engineer
342,30-34,Woman,UK,Doctoral degree,1,2-3 years,Academics/Education,Large,17500.0,Data Scientist
345,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,3500.0,Data Engineer
347,30-34,Man,India,Master’s degree,2,Under 1 year,Academics/Education,Small,17500.0,Data Scientist
349,35-39,Woman,USA,Master’s degree,1,Under 1 year,Academics/Education,Large,17500.0,Other
350,30-34,Man,Russia,Master’s degree,1,Under 1 year,Academics/Education,Large,17500.0,Data Analyst
351,35-39,Man,Switzerland,Master’s degree,2,No experience,Retail/Sales,Large,112500.0,Other
356,35-39,Man,India,Bachelor’s degree,4,Under 1 year,Manufacturing/Fabrication,Large,8750.0,Data Engineer
359,25-29,Man,India,Master’s degree,3,Under 1 year,Academics/Education,Medium,500.0,Data Scientist
360,30-34,Man,India,Master’s degree,2,Under 1 year,Online Service/Internet-based Services,Large,12500.0,Data Engineer
362,35-39,Woman,USA,Doctoral degree,2,No experience,Academics/Education,Medium,65000.0,Data Scientist
364,22-24,Man,USA,Bachelor’s degree,2,3-4 years,Accounting/Finance,Large,112500.0,Data Analyst
367,22-24,Man,Spain,Master’s degree,3,2-3 years,Computers/Technology,Large,27500.0,Data Scientist
369,40-44,Man,UK,Some college,2,Under 1 year,Shipping/Transportation,Large,45000.0,Data Analyst
376,35-39,Man,USA,Doctoral degree,1,1-2 years,Academics/Education,Medium,500.0,Data Scientist
377,30-34,Man,Russia,Master’s degree,2,Under 1 year,Shipping/Transportation,Large,35000.0,Data Analyst
379,22-24,Man,Spain,Bachelor’s degree,2,3-4 years,Broadcasting/Communications,Medium,27500.0,Data Engineer
381,25-29,Man,India,Master’s degree,2,No experience,Manufacturing/Fabrication,Large,6250.0,Other
382,25-29,Man,India,Master’s degree,1,Under 1 year,Computers/Technology,Small,6250.0,Data Engineer
386,40-44,Woman,USA,Bachelor’s degree,2,Under 1 year,Military/Security/Defense,Small,85000.0,Data Engineer
389,40-44,Man,Belgium,Bachelor’s degree,4,3-4 years,Academics/Education,Large,2500.0,Data Analyst
390,50-54,Man,USA,Some college,2,10-20 years,Accounting/Finance,Large,175000.0,Data Engineer
392,35-39,Man,Germany,Master’s degree,3,5-10 years,Computers/Technology,Small,112500.0,Data Scientist
393,30-34,Woman,India,Doctoral degree,3,Under 1 year,Academics/Education,Large,1500.0,Data Scientist
394,35-39,Man,Spain,Master’s degree,4,5-10 years,Other,Small,75000.0,Other
397,25-29,Woman,India,Master’s degree,2,No experience,Computers/Technology,Medium,12500.0,Data Analyst
401,30-34,Man,Germany,Master’s degree,2,No experience,Broadcasting/Communications,Medium,35000.0,Data Analyst
404,30-34,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,22500.0,Data Engineer
407,45-49,Man,Spain,Master’s degree,2,5-10 years,Accounting/Finance,Large,112500.0,Data Scientist
408,45-49,Other,USA,Doctoral degree,2,20 or more years,Computers/Technology,Large,175000.0,Data Scientist
409,40-44,Man,USA,Master’s degree,2,2-3 years,Online Service/Internet-based Services,Large,175000.0,Data Engineer
411,22-24,Woman,India,Bachelor’s degree,4,Under 1 year,Academics/Education,Small,500.0,Data Engineer
413,25-29,Woman,USA,Doctoral degree,3,2-3 years,Computers/Technology,Medium,4500.0,Data Scientist
416,30-34,Man,France,Master’s degree,4,1-2 years,Marketing/CRM,Small,27500.0,Data Analyst
423,40-44,Man,Portugal,Doctoral degree,1,10-20 years,Accounting/Finance,Small,22500.0,Data Scientist
424,35-39,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,45000.0,Other
425,30-34,Man,India,Master’s degree,2,3-4 years,Other,Large,12500.0,Data Scientist
432,25-29,Woman,UK,Bachelor’s degree,2,No experience,Computers/Technology,Medium,55000.0,Data Scientist
434,25-29,Woman,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,500.0,Data Analyst
436,25-29,Man,Russia,Master’s degree,1,1-2 years,Computers/Technology,Large,12500.0,Data Scientist
437,25-29,Man,Russia,High school,2,Under 1 year,Online Business/Internet-based Sales,Large,22500.0,Data Analyst
439,30-34,Other,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
440,22-24,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Large,6250.0,Data Scientist
441,55-59,Man,Italy,Some college,4,1-2 years,Manufacturing/Fabrication,Large,65000.0,Data Analyst
444,18-21,Man,India,Bachelor’s degree,2,No experience,Other,Small,500.0,Data Analyst
447,25-29,Man,India,Bachelor’s degree,1,1-2 years,Accounting/Finance,Small,500.0,Data Scientist
452,45-49,Man,Greece,Bachelor’s degree,3,Under 1 year,Medical/Pharmaceutical,Large,17500.0,Data Analyst
454,18-21,Woman,India,Bachelor’s degree,1,Under 1 year,Other,Small,500.0,Data Scientist
458,30-34,Man,India,Master’s degree,3,2-3 years,Other,Medium,500.0,Other
462,45-49,Man,Italy,Master’s degree,3,4-5 years,Government/Public Service,Large,65000.0,Data Analyst
466,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Marketing/CRM,Large,500.0,Other
470,35-39,Woman,Germany,Master’s degree,1,Under 1 year,Online Service/Internet-based Services,Medium,45000.0,Data Analyst
472,35-39,Man,USA,Bachelor’s degree,1,Under 1 year,Government/Public Service,Large,55000.0,Other
477,50-54,Man,Spain,Master’s degree,3,4-5 years,Accounting/Finance,Small,500.0,Data Scientist
479,30-34,Man,France,Doctoral degree,2,Under 1 year,Computers/Technology,Small,45000.0,Other
482,22-24,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Small,500.0,Data Scientist
483,30-34,Man,USA,Master’s degree,1,Under 1 year,Energy/Mining,Large,95000.0,Other
485,25-29,Man,India,Master’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,3500.0,Other
486,30-34,Man,Netherlands,Bachelor’s degree,2,3-4 years,Retail/Sales,Medium,65000.0,Data Scientist
487,25-29,Woman,Romania,Master’s degree,2,Under 1 year,Retail/Sales,Large,1500.0,Data Engineer
488,30-34,Woman,UK,Master’s degree,2,Under 1 year,Computers/Technology,Large,137500.0,Data Analyst
493,35-39,Man,USA,Bachelor’s degree,2,1-2 years,Computers/Technology,Medium,175000.0,Data Analyst
495,18-21,Man,Russia,Master’s degree,2,1-2 years,Broadcasting/Communications,Large,500.0,Data Engineer
501,40-44,Man,France,Master’s degree,1,1-2 years,Academics/Education,Large,2500.0,Other
503,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Small,500.0,Data Scientist
506,30-34,Man,India,Master’s degree,2,1-2 years,Academics/Education,Medium,8750.0,Other
508,18-21,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,27500.0,Data Engineer
509,55-59,Man,Spain,Master’s degree,4,5-10 years,Insurance/Risk Assessment,Large,55000.0,Data Engineer
510,22-24,Man,India,Master’s degree,4,1-2 years,Accounting/Finance,Large,4500.0,Data Engineer
512,30-34,Man,India,Master’s degree,4,2-3 years,Accounting/Finance,Large,35000.0,Data Engineer
515,25-29,Man,India,High school,2,Under 1 year,Computers/Technology,Large,27500.0,Data Engineer
518,25-29,Man,Denmark,Bachelor’s degree,3,Under 1 year,Computers/Technology,Small,2500.0,Data Engineer
519,18-21,Woman,India,Master’s degree,1,Under 1 year,Academics/Education,Small,500.0,Data Scientist
523,55-59,Man,Russia,High school,1,No experience,Medical/Pharmaceutical,Large,500.0,Other
524,18-21,Woman,India,Bachelor’s degree,4,Under 1 year,Academics/Education,Small,500.0,Data Analyst
526,30-34,Woman,Russia,Master’s degree,2,4-5 years,Online Service/Internet-based Services,Large,45000.0,Data Analyst
528,45-49,Man,Russia,Master’s degree,1,No experience,Insurance/Risk Assessment,Medium,65000.0,Data Engineer
529,40-44,Man,USA,Master’s degree,4,2-3 years,Accounting/Finance,Small,112500.0,Other
531,25-29,Man,USA,Master’s degree,2,3-4 years,Accounting/Finance,Small,85000.0,Data Scientist
532,35-39,Woman,India,Professional doctorate,1,Under 1 year,Medical/Pharmaceutical,Small,35000.0,Other
534,25-29,Man,Russia,Master’s degree,2,1-2 years,Medical/Pharmaceutical,Small,22500.0,Data Engineer
536,22-24,Woman,Ukraine,Master’s degree,2,2-3 years,Shipping/Transportation,Medium,22500.0,Data Engineer
540,18-21,Woman,India,Bachelor’s degree,4,Under 1 year,Online Service/Internet-based Services,Large,17500.0,Data Analyst
543,40-44,Woman,India,I prefer not to answer,1,1-2 years,Academics/Education,Small,500.0,Data Scientist
544,45-49,Man,Ireland,Doctoral degree,3,Under 1 year,Other,Small,22500.0,Other
546,25-29,Man,France,Doctoral degree,3,5-10 years,Computers/Technology,Medium,75000.0,Data Engineer
547,25-29,Woman,India,Master’s degree,3,Under 1 year,Insurance/Risk Assessment,Large,12500.0,Data Analyst
551,25-29,Woman,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Large,500.0,Data Engineer
552,25-29,Man,India,Master’s degree,1,1-2 years,Marketing/CRM,Large,17500.0,Data Analyst
553,45-49,Man,Spain,Doctoral degree,2,20 or more years,Academics/Education,Large,55000.0,Data Scientist
554,25-29,Man,Ireland,Bachelor’s degree,4,Under 1 year,Government/Public Service,Large,35000.0,Data Engineer
558,22-24,Man,India,Bachelor’s degree,1,2-3 years,Computers/Technology,Large,4500.0,Data Engineer
559,35-39,Man,Germany,Master’s degree,2,Under 1 year,Shipping/Transportation,Large,55000.0,Data Analyst
563,35-39,Man,Italy,Doctoral degree,3,3-4 years,Energy/Mining,Large,35000.0,Data Scientist
565,35-39,Woman,Germany,Doctoral degree,1,1-2 years,Other,Large,65000.0,Other
568,30-34,Man,USA,Master’s degree,4,1-2 years,Shipping/Transportation,Large,85000.0,Data Scientist
573,35-39,Woman,France,Doctoral degree,4,2-3 years,Other,Large,95000.0,Data Scientist
576,22-24,Man,UK,Master’s degree,4,1-2 years,Insurance/Risk Assessment,Large,45000.0,Other
577,50-54,Man,Portugal,Doctoral degree,4,5-10 years,Government/Public Service,Large,55000.0,Data Scientist
578,25-29,Man,India,Master’s degree,3,No experience,Computers/Technology,Small,27500.0,Data Engineer
579,40-44,Man,Russia,Master’s degree,3,10-20 years,Academics/Education,Large,1500.0,Data Scientist
582,35-39,Woman,India,Bachelor’s degree,2,4-5 years,Computers/Technology,Large,95000.0,Data Scientist
583,30-34,Woman,India,Doctoral degree,2,1-2 years,Academics/Education,Large,1500.0,Other
585,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Other,Small,500.0,Data Scientist
591,18-21,Man,India,Bachelor’s degree,4,2-3 years,Academics/Education,Small,500.0,Data Analyst
592,30-34,Man,Poland,I prefer not to answer,3,Under 1 year,Shipping/Transportation,Large,12500.0,Data Analyst
594,22-24,Man,India,Master’s degree,1,1-2 years,Computers/Technology,Large,8750.0,Data Engineer
597,22-24,Man,UK,Bachelor’s degree,2,4-5 years,Accounting/Finance,Large,65000.0,Data Engineer
598,40-44,Woman,France,Doctoral degree,1,10-20 years,Computers/Technology,Large,65000.0,Data Engineer
599,35-39,Man,India,Bachelor’s degree,3,Under 1 year,Accounting/Finance,Large,137500.0,Data Engineer
600,25-29,Man,India,Master’s degree,1,4-5 years,Computers/Technology,Small,22500.0,Data Scientist
601,30-34,Woman,Netherlands,Bachelor’s degree,3,4-5 years,Government/Public Service,Large,65000.0,Data Scientist
602,25-29,Man,USA,Doctoral degree,3,Under 1 year,Manufacturing/Fabrication,Small,65000.0,Data Scientist
604,22-24,Man,Russia,Master’s degree,1,2-3 years,Medical/Pharmaceutical,Large,12500.0,Data Engineer
605,30-34,Woman,Portugal,Master’s degree,2,No experience,Accounting/Finance,Medium,17500.0,Data Analyst
608,35-39,Man,India,Doctoral degree,3,4-5 years,Academics/Education,Large,4500.0,Data Scientist
610,55-59,Man,India,Master’s degree,2,4-5 years,Accounting/Finance,Small,112500.0,Data Engineer
612,35-39,Man,India,Professional doctorate,4,1-2 years,Academics/Education,Medium,3500.0,Data Engineer
613,30-34,Man,Germany,Master’s degree,4,2-3 years,Retail/Sales,Large,85000.0,Data Scientist
614,25-29,Woman,Germany,Bachelor’s degree,2,Under 1 year,Other,Large,55000.0,Data Analyst
