,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,team_size_g,salary_avg,role_group
134,50-54,Man,Austria,High school,20+ years,3,No experience,Shipping/Transportation,Small,75000.0,Data Engineer
137,35-39,Man,France,Master’s degree,< 1 years,1,Under 1 year,Energy/Mining,Small,65000.0,Data Scientist
138,25-29,Man,Spain,Master’s degree,5-10 years,2,1-2 years,Other,Large,35000.0,Data Engineer
139,22-24,Man,Ukraine,Doctoral degree,3-5 years,4,3-4 years,Other,Small,500.0,Data Analyst
147,30-34,Man,Denmark,Doctoral degree,10-20 years,3,5-10 years,Retail/Sales,Small,112500.0,Data Scientist
152,45-49,Man,Germany,Master’s degree,10-20 years,3,Under 1 year,Government/Public Service,Medium,112500.0,Data Analyst
161,35-39,Man,Russia,Bachelor’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,No team,22500.0,Other
166,25-29,Other,Germany,Doctoral degree,3-5 years,4,3-4 years,Academics/Education,Large,55000.0,Data Scientist
169,30-34,Man,UK,Bachelor’s degree,10-20 years,1,2-3 years,Computers/Technology,Large,75000.0,Data Engineer
178,35-39,Man,Sweden,Doctoral degree,5-10 years,3,2-3 years,Academics/Education,Small,4500.0,Data Scientist
179,40-44,Man,France,Doctoral degree,10-20 years,2,No experience,Computers/Technology,Small,45000.0,Data Scientist
182,45-49,Man,Russia,Master’s degree,3-5 years,2,1-2 years,Computers/Technology,Small,500.0,Data Analyst
185,25-29,Woman,Italy,Master’s degree,1-3 years,3,Under 1 year,Academics/Education,Small,1500.0,Data Analyst
187,50-54,Man,Portugal,Doctoral degree,10-20 years,4,1-2 years,Computers/Technology,Small,27500.0,Data Scientist
189,55-59,Man,Netherlands,Doctoral degree,20+ years,3,20 or more years,Other,Small,75000.0,Data Scientist
199,22-24,Man,Poland,Master’s degree,< 1 years,1,No experience,Accounting/Finance,No team,1500.0,Data Analyst
216,50-54,Man,Spain,Bachelor’s degree,1-3 years,1,1-2 years,Online Service/Internet-based Services,Small,65000.0,Data Analyst
218,35-39,Man,Greece,Doctoral degree,10-20 years,3,5-10 years,Shipping/Transportation,Small,17500.0,Data Scientist
223,25-29,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Energy/Mining,No team,17500.0,Data Scientist
226,22-24,Man,UK,Master’s degree,< 1 years,1,No experience,Retail/Sales,Small,2500.0,Data Engineer
243,22-24,Man,Spain,Some college,< 1 years,2,No experience,Academics/Education,No team,500.0,Other
259,30-34,Woman,UK,Bachelor’s degree,< 1 years,2,Under 1 year,Online Business/Internet-based Sales,Small,22500.0,Data Analyst
264,25-29,Man,Austria,Master’s degree,5-10 years,3,3-4 years,Energy/Mining,Small,95000.0,Data Scientist
277,22-24,Man,Russia,Master’s degree,1-3 years,3,Under 1 year,Academics/Education,Small,3500.0,Data Engineer
278,55-59,Man,Sweden,Doctoral degree,20+ years,1,1-2 years,Energy/Mining,Small,75000.0,Data Analyst
280,30-34,Woman,Italy,Master’s degree,5-10 years,4,Under 1 year,Computers/Technology,Small,2500.0,Data Engineer
290,45-49,Man,Italy,Doctoral degree,10-20 years,3,2-3 years,Government/Public Service,Small,45000.0,Data Scientist
298,25-29,Man,Russia,Doctoral degree,3-5 years,2,3-4 years,Computers/Technology,Small,4500.0,Data Scientist
310,22-24,Man,Germany,Bachelor’s degree,1-3 years,2,Under 1 year,Academics/Education,Small,500.0,Data Engineer
312,30-34,Man,Italy,Doctoral degree,3-5 years,1,Under 1 year,Energy/Mining,Small,35000.0,Data Engineer
314,35-39,Woman,UK,Master’s degree,< 1 years,2,No experience,Broadcasting/Communications,Large,45000.0,Data Engineer
331,40-44,Man,Russia,Master’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,Large,12500.0,Data Engineer
332,35-39,Man,Russia,I prefer not to answer,10-20 years,3,3-4 years,Academics/Education,No team,4500.0,Data Scientist
342,30-34,Woman,UK,Doctoral degree,5-10 years,1,2-3 years,Academics/Education,Large,17500.0,Data Scientist
350,30-34,Man,Russia,Master’s degree,3-5 years,1,Under 1 year,Academics/Education,Medium,17500.0,Data Analyst
351,35-39,Man,Switzerland,Master’s degree,< 1 years,2,No experience,Retail/Sales,No team,112500.0,Other
367,22-24,Man,Spain,Master’s degree,5-10 years,3,2-3 years,Computers/Technology,Medium,27500.0,Data Scientist
369,40-44,Man,UK,Some college,1-3 years,2,Under 1 year,Shipping/Transportation,Small,45000.0,Data Analyst
377,30-34,Man,Russia,Master’s degree,3-5 years,2,Under 1 year,Shipping/Transportation,No team,35000.0,Data Analyst
379,22-24,Man,Spain,Bachelor’s degree,3-5 years,2,3-4 years,Broadcasting/Communications,Small,27500.0,Data Engineer
389,40-44,Man,Belgium,Bachelor’s degree,20+ years,4,3-4 years,Academics/Education,Small,2500.0,Data Analyst
392,35-39,Man,Germany,Master’s degree,5-10 years,3,5-10 years,Computers/Technology,Small,112500.0,Data Scientist
394,35-39,Man,Spain,Master’s degree,5-10 years,4,5-10 years,Other,Large,75000.0,Other
401,30-34,Man,Germany,Master’s degree,1-3 years,2,No experience,Broadcasting/Communications,Small,35000.0,Data Analyst
407,45-49,Man,Spain,Master’s degree,5-10 years,2,5-10 years,Accounting/Finance,Large,112500.0,Data Scientist
417,30-34,Man,France,Master’s degree,1-3 years,4,1-2 years,Marketing/CRM,Small,27500.0,Data Analyst
424,40-44,Man,Portugal,Doctoral degree,20+ years,1,10-20 years,Accounting/Finance,Small,22500.0,Data Scientist
433,25-29,Woman,UK,Bachelor’s degree,3-5 years,2,No experience,Computers/Technology,Medium,55000.0,Data Scientist
437,25-29,Man,Russia,Master’s degree,1-3 years,1,1-2 years,Computers/Technology,No team,12500.0,Data Scientist
438,25-29,Man,Russia,High school,5-10 years,2,Under 1 year,Online Business/Internet-based Sales,Small,22500.0,Data Analyst
442,55-59,Man,Italy,Some college,20+ years,4,1-2 years,Manufacturing/Fabrication,No team,65000.0,Data Analyst
453,45-49,Man,Greece,Bachelor’s degree,< 1 years,3,Under 1 year,Medical/Pharmaceutical,No team,17500.0,Data Analyst
463,45-49,Man,Italy,Master’s degree,10-20 years,3,4-5 years,Government/Public Service,Small,65000.0,Data Analyst
471,35-39,Woman,Germany,Master’s degree,1-3 years,1,Under 1 year,Online Service/Internet-based Services,Small,45000.0,Data Analyst
478,50-54,Man,Spain,Master’s degree,20+ years,3,4-5 years,Accounting/Finance,Small,500.0,Data Scientist
480,30-34,Man,France,Doctoral degree,5-10 years,2,Under 1 year,Computers/Technology,Small,45000.0,Other
487,30-34,Man,Netherlands,Bachelor’s degree,3-5 years,2,3-4 years,Retail/Sales,Small,65000.0,Data Scientist
488,25-29,Woman,Romania,Master’s degree,1-3 years,2,Under 1 year,Retail/Sales,Large,1500.0,Data Engineer
489,30-34,Woman,UK,Master’s degree,1-3 years,2,Under 1 year,Computers/Technology,Large,137500.0,Data Analyst
496,18-21,Man,Russia,Master’s degree,< 1 years,2,1-2 years,Broadcasting/Communications,No team,500.0,Data Engineer
502,40-44,Man,France,Master’s degree,3-5 years,1,1-2 years,Academics/Education,No team,2500.0,Other
510,55-59,Man,Spain,Master’s degree,20+ years,4,5-10 years,Insurance/Risk Assessment,Small,55000.0,Data Engineer
519,25-29,Man,Denmark,Bachelor’s degree,3-5 years,3,Under 1 year,Computers/Technology,No team,2500.0,Data Engineer
524,55-59,Man,Russia,High school,< 1 years,1,No experience,Medical/Pharmaceutical,No team,500.0,Other
527,30-34,Woman,Russia,Master’s degree,3-5 years,2,4-5 years,Online Service/Internet-based Services,Large,45000.0,Data Analyst
529,45-49,Man,Russia,Master’s degree,20+ years,1,No experience,Insurance/Risk Assessment,Small,65000.0,Data Engineer
535,25-29,Man,Russia,Master’s degree,5-10 years,2,1-2 years,Medical/Pharmaceutical,Medium,22500.0,Data Engineer
537,22-24,Woman,Ukraine,Master’s degree,3-5 years,2,2-3 years,Shipping/Transportation,Small,22500.0,Data Engineer
545,45-49,Man,Ireland,Doctoral degree,< 1 years,3,Under 1 year,Other,Small,22500.0,Other
547,25-29,Man,France,Doctoral degree,5-10 years,3,5-10 years,Computers/Technology,Small,75000.0,Data Engineer
554,45-49,Man,Spain,Doctoral degree,20+ years,2,20 or more years,Academics/Education,Medium,55000.0,Data Scientist
555,25-29,Man,Ireland,Bachelor’s degree,5-10 years,4,Under 1 year,Government/Public Service,No team,35000.0,Data Engineer
560,35-39,Man,Germany,Master’s degree,20+ years,2,Under 1 year,Shipping/Transportation,Small,55000.0,Data Analyst
564,35-39,Man,Italy,Doctoral degree,5-10 years,3,3-4 years,Energy/Mining,Large,35000.0,Data Scientist
566,35-39,Woman,Germany,Doctoral degree,1-3 years,1,1-2 years,Other,No team,65000.0,Other
574,35-39,Woman,France,Doctoral degree,1-3 years,4,2-3 years,Other,Small,95000.0,Data Scientist
577,22-24,Man,UK,Master’s degree,3-5 years,4,1-2 years,Insurance/Risk Assessment,Large,45000.0,Other
578,50-54,Man,Portugal,Doctoral degree,10-20 years,4,5-10 years,Government/Public Service,Small,55000.0,Data Scientist
580,40-44,Man,Russia,Master’s degree,20+ years,3,10-20 years,Academics/Education,Large,1500.0,Data Scientist
593,30-34,Man,Poland,I prefer not to answer,< 1 years,3,Under 1 year,Shipping/Transportation,No team,12500.0,Data Analyst
598,22-24,Man,UK,Bachelor’s degree,5-10 years,2,4-5 years,Accounting/Finance,Large,65000.0,Data Engineer
599,40-44,Woman,France,Doctoral degree,20+ years,1,10-20 years,Computers/Technology,Medium,65000.0,Data Engineer
602,30-34,Woman,Netherlands,Bachelor’s degree,5-10 years,3,4-5 years,Government/Public Service,Small,65000.0,Data Scientist
605,22-24,Man,Russia,Master’s degree,5-10 years,1,2-3 years,Medical/Pharmaceutical,Large,12500.0,Data Engineer
606,30-34,Woman,Portugal,Master’s degree,5-10 years,2,No experience,Accounting/Finance,Small,17500.0,Data Analyst
614,30-34,Man,Germany,Master’s degree,10-20 years,4,2-3 years,Retail/Sales,Large,85000.0,Data Scientist
615,25-29,Woman,Germany,Bachelor’s degree,1-3 years,2,Under 1 year,Other,Small,55000.0,Data Analyst
629,35-39,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Manufacturing/Fabrication,Small,17500.0,Data Analyst
633,30-34,Man,Germany,Master’s degree,1-3 years,4,1-2 years,Energy/Mining,Medium,65000.0,Data Scientist
637,22-24,Man,Greece,Master’s degree,3-5 years,2,3-4 years,Online Service/Internet-based Services,Small,27500.0,Data Engineer
640,35-39,Woman,Spain,Doctoral degree,10-20 years,1,3-4 years,Computers/Technology,Small,45000.0,Data Scientist
642,50-54,Man,Belgium,Master’s degree,20+ years,3,3-4 years,Computers/Technology,No team,500.0,Data Engineer
657,50-54,Man,Spain,Master’s degree,10-20 years,2,Under 1 year,Other,No team,65000.0,Data Analyst
660,35-39,Man,UK,Doctoral degree,5-10 years,1,2-3 years,Military/Security/Defense,Small,95000.0,Data Scientist
665,25-29,Man,Russia,Master’s degree,10-20 years,4,4-5 years,Computers/Technology,Small,95000.0,Data Engineer
681,45-49,Man,Poland,Master’s degree,20+ years,4,1-2 years,Computers/Technology,Small,95000.0,Data Engineer
682,25-29,Man,Germany,Master’s degree,3-5 years,4,4-5 years,Manufacturing/Fabrication,Small,65000.0,Data Scientist
684,40-44,Man,Germany,Master’s degree,< 1 years,1,Under 1 year,Manufacturing/Fabrication,Small,8750.0,Data Analyst
689,30-34,Man,Russia,Some college,< 1 years,1,No experience,Medical/Pharmaceutical,No team,6250.0,Other
691,30-34,Woman,Netherlands,Doctoral degree,< 1 years,2,Under 1 year,Academics/Education,Small,35000.0,Data Scientist
692,50-54,Man,Italy,Bachelor’s degree,20+ years,2,Under 1 year,Manufacturing/Fabrication,Small,55000.0,Data Analyst
695,22-24,Man,Poland,Master’s degree,3-5 years,3,2-3 years,Online Service/Internet-based Services,Medium,45000.0,Data Scientist
705,30-34,Man,Portugal,Doctoral degree,5-10 years,4,4-5 years,Computers/Technology,Small,65000.0,Data Engineer
714,55-59,Man,UK,Doctoral degree,20+ years,3,10-20 years,Other,Small,95000.0,Data Scientist
716,55-59,Man,Germany,Doctoral degree,20+ years,4,3-4 years,Computers/Technology,Small,95000.0,Data Engineer
717,22-24,Man,Poland,Bachelor’s degree,1-3 years,1,Under 1 year,Accounting/Finance,No team,45000.0,Data Engineer
719,30-34,Woman,Germany,Master’s degree,5-10 years,1,Under 1 year,Shipping/Transportation,Small,65000.0,Data Analyst
727,55-59,Man,Netherlands,Master’s degree,20+ years,1,20 or more years,Computers/Technology,Small,112500.0,Data Scientist
735,40-44,Man,Spain,Doctoral degree,5-10 years,4,5-10 years,Academics/Education,Small,65000.0,Data Scientist
739,30-34,Woman,Russia,Master’s degree,5-10 years,2,Under 1 year,Computers/Technology,Small,8750.0,Data Analyst
740,50-54,Man,UK,Some college,20+ years,3,Under 1 year,Retail/Sales,Small,45000.0,Data Analyst
744,30-34,Man,France,Master’s degree,5-10 years,3,4-5 years,Insurance/Risk Assessment,Large,112500.0,Data Analyst
753,22-24,Woman,France,Master’s degree,3-5 years,1,2-3 years,Insurance/Risk Assessment,Large,75000.0,Data Scientist
759,45-49,Man,Spain,Bachelor’s degree,5-10 years,3,1-2 years,Government/Public Service,Large,65000.0,Data Analyst
762,50-54,Woman,Poland,Master’s degree,< 1 years,1,No experience,Academics/Education,Medium,1500.0,Data Analyst
763,18-21,Man,Russia,Bachelor’s degree,3-5 years,1,2-3 years,Computers/Technology,Small,500.0,Data Engineer
769,25-29,Man,France,Master’s degree,3-5 years,1,2-3 years,Manufacturing/Fabrication,Small,112500.0,Data Analyst
770,30-34,Man,Austria,Doctoral degree,5-10 years,1,4-5 years,Marketing/CRM,Small,12500.0,Data Scientist
773,30-34,Man,Sweden,High school,1-3 years,3,Under 1 year,Shipping/Transportation,Small,55000.0,Other
779,50-54,Man,Ireland,Doctoral degree,< 1 years,1,Under 1 year,Government/Public Service,Small,112500.0,Other
785,30-34,Man,Austria,Bachelor’s degree,10-20 years,4,2-3 years,Shipping/Transportation,Small,55000.0,Data Engineer
786,30-34,Man,Germany,Master’s degree,5-10 years,3,4-5 years,Computers/Technology,Large,35000.0,Data Scientist
790,35-39,Man,Ukraine,Bachelor’s degree,10-20 years,1,Under 1 year,Academics/Education,Large,1500.0,Data Engineer
791,30-34,Man,UK,Master’s degree,< 1 years,2,Under 1 year,Shipping/Transportation,Large,35000.0,Data Analyst
799,25-29,Man,Spain,Master’s degree,5-10 years,2,4-5 years,Online Service/Internet-based Services,Small,65000.0,Data Scientist
802,25-29,Man,Belgium,Master’s degree,5-10 years,4,1-2 years,Other,Small,27500.0,Data Scientist
805,22-24,Man,Greece,Master’s degree,5-10 years,2,1-2 years,Energy/Mining,Small,17500.0,Data Engineer
807,22-24,Man,UK,Bachelor’s degree,3-5 years,2,1-2 years,Retail/Sales,Small,35000.0,Data Scientist
808,22-24,Man,Belgium,Master’s degree,1-3 years,4,1-2 years,Academics/Education,Small,500.0,Data Engineer
821,35-39,Man,Germany,Bachelor’s degree,1-3 years,1,1-2 years,Manufacturing/Fabrication,Large,95000.0,Other
825,30-34,Man,France,Doctoral degree,3-5 years,1,Under 1 year,Academics/Education,Large,17500.0,Data Scientist
842,30-34,Woman,Germany,Master’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,Large,65000.0,Data Analyst
847,40-44,Man,Germany,Master’s degree,5-10 years,3,3-4 years,Online Service/Internet-based Services,Small,85000.0,Data Scientist
848,45-49,Man,Spain,Bachelor’s degree,1-3 years,3,3-4 years,Hospitality/Entertainment/Sports,Small,137500.0,Data Engineer
856,55-59,Man,Spain,Master’s degree,20+ years,1,3-4 years,Government/Public Service,Large,55000.0,Data Scientist
857,22-24,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Non-profit/Service,Small,12500.0,Data Engineer
866,25-29,Man,Russia,Master’s degree,5-10 years,4,3-4 years,Hospitality/Entertainment/Sports,Small,45000.0,Data Engineer
869,55-59,Man,Germany,Doctoral degree,20+ years,4,5-10 years,Computers/Technology,Small,35000.0,Data Engineer
874,50-54,Man,Germany,Doctoral degree,10-20 years,3,10-20 years,Government/Public Service,Small,65000.0,Data Scientist
875,35-39,Man,Netherlands,Master’s degree,1-3 years,1,No experience,Non-profit/Service,Small,85000.0,Data Analyst
878,45-49,Man,Italy,Some college,10-20 years,2,No experience,Computers/Technology,Small,27500.0,Data Engineer
892,25-29,Man,UK,Master’s degree,3-5 years,2,1-2 years,Other,Large,55000.0,Data Scientist
894,45-49,Man,Russia,Master’s degree,20+ years,3,5-10 years,Retail/Sales,Small,112500.0,Data Analyst
895,25-29,Man,Spain,Master’s degree,3-5 years,1,1-2 years,Broadcasting/Communications,Small,45000.0,Data Scientist
899,25-29,Man,Germany,Doctoral degree,5-10 years,2,4-5 years,Military/Security/Defense,Medium,112500.0,Data Scientist
900,45-49,Man,Sweden,Master’s degree,20+ years,4,4-5 years,Manufacturing/Fabrication,Small,112500.0,Data Scientist
904,25-29,Man,Spain,Doctoral degree,5-10 years,3,5-10 years,Academics/Education,Small,22500.0,Data Scientist
908,35-39,Man,Denmark,Doctoral degree,< 1 years,1,Under 1 year,Computers/Technology,Small,75000.0,Data Scientist
911,45-49,Man,Spain,Bachelor’s degree,5-10 years,2,Under 1 year,Manufacturing/Fabrication,Small,45000.0,Data Engineer
917,45-49,Man,Russia,Master’s degree,20+ years,1,1-2 years,Other,Large,55000.0,Data Analyst
918,22-24,Man,UK,Bachelor’s degree,1-3 years,1,1-2 years,Medical/Pharmaceutical,Large,45000.0,Data Analyst
923,45-49,Man,Belgium,Master’s degree,1-3 years,2,No experience,Online Service/Internet-based Services,Small,75000.0,Data Analyst
952,25-29,Man,Spain,Master’s degree,3-5 years,2,1-2 years,Insurance/Risk Assessment,Small,35000.0,Data Scientist
955,50-54,Man,Spain,Master’s degree,20+ years,2,1-2 years,Medical/Pharmaceutical,No team,45000.0,Data Engineer
960,25-29,Man,Netherlands,Master’s degree,3-5 years,3,2-3 years,Insurance/Risk Assessment,Large,65000.0,Data Scientist
962,25-29,Man,Russia,I prefer not to answer,1-3 years,1,1-2 years,Academics/Education,No team,500.0,Data Engineer
965,40-44,Man,Netherlands,Bachelor’s degree,10-20 years,1,3-4 years,Government/Public Service,Small,75000.0,Data Scientist
971,30-34,Man,Portugal,Master’s degree,< 1 years,1,No experience,Accounting/Finance,Large,12500.0,Other
974,35-39,Woman,Ukraine,I prefer not to answer,5-10 years,3,No experience,Manufacturing/Fabrication,No team,1500.0,Data Engineer
980,30-34,Man,Russia,Some college,10-20 years,4,Under 1 year,Computers/Technology,No team,45000.0,Data Engineer
990,40-44,Man,France,Master’s degree,< 1 years,3,Under 1 year,Shipping/Transportation,Small,500.0,Data Analyst
994,55-59,Man,Netherlands,Doctoral degree,20+ years,4,20 or more years,Accounting/Finance,Small,112500.0,Data Scientist
995,35-39,Man,France,Doctoral degree,5-10 years,2,5-10 years,Academics/Education,Large,27500.0,Data Scientist
1003,50-54,Man,Italy,Bachelor’s degree,10-20 years,4,2-3 years,Broadcasting/Communications,Small,35000.0,Data Engineer
1008,35-39,Man,France,Doctoral degree,20+ years,1,Under 1 year,Computers/Technology,Large,35000.0,Data Analyst
1018,30-34,Man,France,Master’s degree,1-3 years,2,Under 1 year,Energy/Mining,Small,27500.0,Other
1019,35-39,Man,France,Master’s degree,10-20 years,3,Under 1 year,Computers/Technology,Small,55000.0,Data Analyst
1021,25-29,Man,Russia,Bachelor’s degree,3-5 years,3,1-2 years,Medical/Pharmaceutical,Small,500.0,Data Scientist
1023,45-49,Woman,UK,Doctoral degree,< 1 years,3,Under 1 year,Academics/Education,Small,27500.0,Data Scientist
1040,22-24,Man,Ireland,Master’s degree,5-10 years,3,2-3 years,Computers/Technology,Large,45000.0,Data Engineer
1041,50-54,Man,UK,Master’s degree,5-10 years,2,1-2 years,Computers/Technology,Medium,137500.0,Data Scientist
1052,40-44,Man,Spain,Some college,10-20 years,4,Under 1 year,Computers/Technology,Small,65000.0,Data Engineer
1054,45-49,Man,Spain,Doctoral degree,10-20 years,3,10-20 years,Broadcasting/Communications,Small,55000.0,Data Analyst
1055,45-49,Man,Denmark,Doctoral degree,20+ years,2,10-20 years,Computers/Technology,Medium,137500.0,Data Analyst
1058,45-49,Man,Spain,Master’s degree,10-20 years,4,2-3 years,Retail/Sales,Small,45000.0,Data Analyst
1070,25-29,Man,Germany,Master’s degree,1-3 years,2,Under 1 year,Broadcasting/Communications,Small,55000.0,Data Scientist
1079,25-29,Man,Spain,Some college,3-5 years,2,2-3 years,Retail/Sales,Medium,27500.0,Data Analyst
1081,30-34,Man,Italy,Doctoral degree,3-5 years,2,3-4 years,Computers/Technology,Small,45000.0,Data Engineer
1083,50-54,Man,Russia,Master’s degree,< 1 years,2,1-2 years,Computers/Technology,Large,12500.0,Data Analyst
1085,45-49,Man,Germany,High school,20+ years,2,20 or more years,Academics/Education,Small,2500.0,Data Engineer
1087,22-24,Man,Poland,Master’s degree,< 1 years,1,Under 1 year,Accounting/Finance,Large,12500.0,Data Analyst
1094,30-34,Man,Germany,Bachelor’s degree,3-5 years,4,2-3 years,Accounting/Finance,Large,85000.0,Data Scientist
1103,35-39,Man,Russia,Master’s degree,10-20 years,3,1-2 years,Accounting/Finance,Large,137500.0,Data Analyst
1113,35-39,Man,Italy,Master’s degree,10-20 years,2,5-10 years,Computers/Technology,Small,55000.0,Data Engineer
1126,55-59,Man,Germany,Doctoral degree,3-5 years,2,5-10 years,Other,Small,112500.0,Data Scientist
1130,40-44,Man,Germany,Doctoral degree,20+ years,4,2-3 years,Marketing/CRM,Small,65000.0,Data Engineer
1142,30-34,Woman,Ireland,Doctoral degree,< 1 years,3,Under 1 year,Academics/Education,Large,45000.0,Data Scientist
1155,25-29,Man,Russia,Bachelor’s degree,< 1 years,2,No experience,Accounting/Finance,No team,8750.0,Data Scientist
1158,45-49,Man,Spain,Master’s degree,5-10 years,4,Under 1 year,Academics/Education,No team,1500.0,Data Engineer
1171,35-39,Man,Spain,Master’s degree,10-20 years,3,5-10 years,Broadcasting/Communications,Small,65000.0,Data Scientist
1172,55-59,Man,Italy,High school,10-20 years,4,Under 1 year,Accounting/Finance,No team,500.0,Other
1176,22-24,Woman,Russia,Master’s degree,< 1 years,3,Under 1 year,Marketing/CRM,Medium,1500.0,Data Analyst
1192,45-49,Man,UK,Master’s degree,20+ years,3,20 or more years,Broadcasting/Communications,Small,137500.0,Data Scientist
1194,25-29,Man,Russia,Master’s degree,3-5 years,3,2-3 years,Accounting/Finance,Large,35000.0,Data Scientist
1221,30-34,Man,Russia,I prefer not to answer,< 1 years,1,No experience,Energy/Mining,Medium,1500.0,Data Analyst
1223,25-29,Man,Italy,Master’s degree,1-3 years,1,1-2 years,Accounting/Finance,Small,1500.0,Data Scientist
1224,35-39,Man,Spain,Doctoral degree,10-20 years,3,5-10 years,Academics/Education,Large,1500.0,Data Scientist
1238,40-44,Man,Ireland,Doctoral degree,1-3 years,2,3-4 years,Academics/Education,Small,45000.0,Data Engineer
1239,22-24,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
1246,25-29,Man,Russia,Master’s degree,< 1 years,1,No experience,Medical/Pharmaceutical,Small,8750.0,Other
1248,45-49,Man,Spain,Master’s degree,1-3 years,1,3-4 years,Computers/Technology,Medium,55000.0,Data Scientist
1255,30-34,Man,France,Master’s degree,1-3 years,4,Under 1 year,Computers/Technology,Large,35000.0,Data Scientist
1259,18-21,Man,Russia,Master’s degree,1-3 years,1,1-2 years,Computers/Technology,Large,85000.0,Data Engineer
1261,40-44,Man,Russia,High school,1-3 years,3,Under 1 year,Retail/Sales,No team,22500.0,Other
1268,50-54,Man,Germany,Bachelor’s degree,20+ years,2,Under 1 year,Online Service/Internet-based Services,No team,112500.0,Data Engineer
1274,25-29,Man,Spain,Doctoral degree,1-3 years,3,2-3 years,Academics/Education,Small,17500.0,Data Scientist
1285,30-34,Man,UK,Bachelor’s degree,< 1 years,1,Under 1 year,Computers/Technology,Large,85000.0,Data Engineer
1289,35-39,Man,Russia,Bachelor’s degree,10-20 years,4,Under 1 year,Broadcasting/Communications,Small,17500.0,Data Engineer
1295,25-29,Man,Spain,Master’s degree,1-3 years,3,No experience,Medical/Pharmaceutical,Large,35000.0,Other
1300,35-39,Man,Russia,Some college,10-20 years,3,No experience,Computers/Technology,Large,55000.0,Data Engineer
1301,30-34,Man,Poland,Bachelor’s degree,5-10 years,3,4-5 years,Computers/Technology,Large,65000.0,Data Scientist
1303,30-34,Man,France,Master’s degree,3-5 years,3,1-2 years,Manufacturing/Fabrication,Small,55000.0,Data Analyst
1305,35-39,Man,Russia,Doctoral degree,5-10 years,4,Under 1 year,Academics/Education,Small,8750.0,Data Engineer
1306,22-24,Man,Russia,Bachelor’s degree,< 1 years,1,Under 1 year,Marketing/CRM,Small,95000.0,Data Scientist
