,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,company_size_g,team_size_g,role_group,salary_avg
124,22-24,Man,France,Master’s degree,3-5 years,1,1-2 years,Manufacturing/Fabrication,Large,Large,Data Scientist,12500.0
126,35-39,Woman,Ireland,Doctoral degree,10-20 years,1,4-5 years,Academics/Education,Large,Small,Data Scientist,65000.0
132,45-49,Man,Portugal,High school,< 1 years,1,Under 1 year,Other,Large,Small,Other,12500.0
140,50-54,Man,Austria,High school,20+ years,3,No experience,Shipping/Transportation,Large,Small,Data Engineer,75000.0
141,45-49,Man,Sweden,Master’s degree,20+ years,3,1-2 years,Accounting/Finance,Small,Small,Data Engineer,39176.71626648631
144,35-39,Man,France,Master’s degree,< 1 years,1,Under 1 year,Energy/Mining,Large,Small,Data Scientist,65000.0
145,25-29,Man,Spain,Master’s degree,5-10 years,2,1-2 years,Other,Large,Large,Data Engineer,35000.0
146,22-24,Man,Ukraine,Doctoral degree,3-5 years,4,3-4 years,Other,Small,Small,Data Analyst,500.0
155,30-34,Man,Denmark,Doctoral degree,10-20 years,3,5-10 years,Retail/Sales,Medium,Small,Data Scientist,112500.0
161,45-49,Man,Germany,Master’s degree,10-20 years,3,Under 1 year,Government/Public Service,Large,Medium,Data Analyst,112500.0
170,35-39,Man,Russia,Bachelor’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,Large,No team,Other,22500.0
175,25-29,Other,Germany,Doctoral degree,3-5 years,4,3-4 years,Academics/Education,Large,Large,Data Scientist,55000.0
178,30-34,Man,UK,Bachelor’s degree,10-20 years,1,2-3 years,Computers/Technology,Large,Large,Data Engineer,75000.0
186,25-29,Man,France,Master’s degree,1-3 years,4,1-2 years,Insurance/Risk Assessment,Large,Small,Data Scientist,39176.71626648631
188,35-39,Man,Sweden,Doctoral degree,5-10 years,3,2-3 years,Academics/Education,Small,Small,Data Scientist,4500.0
189,40-44,Man,France,Doctoral degree,10-20 years,2,No experience,Computers/Technology,Small,Small,Data Scientist,45000.0
192,45-49,Man,Russia,Master’s degree,3-5 years,2,1-2 years,Computers/Technology,Small,Small,Data Analyst,500.0
195,25-29,Woman,Italy,Master’s degree,1-3 years,3,Under 1 year,Academics/Education,Large,Small,Data Analyst,1500.0
197,50-54,Man,Portugal,Doctoral degree,10-20 years,4,1-2 years,Computers/Technology,Medium,Small,Data Scientist,27500.0
199,55-59,Man,Netherlands,Doctoral degree,20+ years,3,20 or more years,Other,Medium,Small,Data Scientist,75000.0
209,22-24,Man,Poland,Master’s degree,< 1 years,1,No experience,Accounting/Finance,Medium,No team,Data Analyst,1500.0
221,25-29,Woman,Spain,Master’s degree,1-3 years,4,1-2 years,Accounting/Finance,Medium,Small,Data Engineer,39176.71626648631
228,50-54,Man,Spain,Bachelor’s degree,1-3 years,1,1-2 years,Online Service/Internet-based Services,Medium,Small,Data Analyst,65000.0
230,35-39,Man,Greece,Doctoral degree,10-20 years,3,5-10 years,Shipping/Transportation,Medium,Small,Data Scientist,17500.0
235,25-29,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Energy/Mining,Large,No team,Data Scientist,17500.0
238,22-24,Man,UK,Master’s degree,< 1 years,1,No experience,Retail/Sales,Medium,Small,Data Engineer,2500.0
255,22-24,Man,Spain,Some college,< 1 years,2,No experience,Academics/Education,Small,No team,Other,500.0
271,30-34,Woman,UK,Bachelor’s degree,< 1 years,2,Under 1 year,Online Business/Internet-based Sales,Medium,Small,Data Analyst,22500.0
276,25-29,Man,Austria,Master’s degree,5-10 years,3,3-4 years,Energy/Mining,Large,Small,Data Scientist,95000.0
290,22-24,Man,Russia,Master’s degree,1-3 years,3,Under 1 year,Academics/Education,Large,Small,Data Engineer,3500.0
291,55-59,Man,Sweden,Doctoral degree,20+ years,1,1-2 years,Energy/Mining,Small,Small,Data Analyst,75000.0
293,30-34,Man,UK,Professional doctorate,3-5 years,1,No experience,Academics/Education,Large,No team,Data Scientist,39176.71626648631
294,30-34,Woman,Italy,Master’s degree,5-10 years,4,Under 1 year,Computers/Technology,Medium,Small,Data Engineer,2500.0
304,45-49,Man,Italy,Doctoral degree,10-20 years,3,2-3 years,Government/Public Service,Large,Small,Data Scientist,45000.0
312,25-29,Man,Russia,Doctoral degree,3-5 years,2,3-4 years,Computers/Technology,Medium,Small,Data Scientist,4500.0
325,22-24,Man,Germany,Bachelor’s degree,1-3 years,2,Under 1 year,Academics/Education,Small,Small,Data Engineer,500.0
327,30-34,Man,Italy,Doctoral degree,3-5 years,1,Under 1 year,Energy/Mining,Large,Small,Data Engineer,35000.0
329,35-39,Woman,UK,Master’s degree,< 1 years,2,No experience,Broadcasting/Communications,Large,Large,Data Engineer,45000.0
348,25-29,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Computers/Technology,Large,Large,Data Analyst,39176.71626648631
349,40-44,Man,Russia,Master’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,Large,Large,Data Engineer,12500.0
350,35-39,Man,Russia,I prefer not to answer,10-20 years,3,3-4 years,Academics/Education,Small,No team,Data Scientist,4500.0
356,50-54,Man,Poland,Master’s degree,< 1 years,1,No experience,Accounting/Finance,Medium,Small,Data Analyst,39176.71626648631
362,30-34,Woman,UK,Doctoral degree,5-10 years,1,2-3 years,Academics/Education,Large,Large,Data Scientist,17500.0
371,30-34,Man,Russia,Master’s degree,3-5 years,1,Under 1 year,Academics/Education,Large,Medium,Data Analyst,17500.0
372,35-39,Man,Switzerland,Master’s degree,< 1 years,2,No experience,Retail/Sales,Large,No team,Other,112500.0
388,22-24,Man,Spain,Master’s degree,5-10 years,3,2-3 years,Computers/Technology,Large,Medium,Data Scientist,27500.0
390,40-44,Man,UK,Some college,1-3 years,2,Under 1 year,Shipping/Transportation,Large,Small,Data Analyst,45000.0
398,30-34,Man,Russia,Master’s degree,3-5 years,2,Under 1 year,Shipping/Transportation,Large,No team,Data Analyst,35000.0
400,22-24,Man,Spain,Bachelor’s degree,3-5 years,2,3-4 years,Broadcasting/Communications,Medium,Small,Data Engineer,27500.0
410,40-44,Man,Belgium,Bachelor’s degree,20+ years,4,3-4 years,Academics/Education,Large,Small,Data Analyst,2500.0
413,35-39,Man,Germany,Master’s degree,5-10 years,3,5-10 years,Computers/Technology,Small,Small,Data Scientist,112500.0
415,35-39,Man,Spain,Master’s degree,5-10 years,4,5-10 years,Other,Small,Large,Other,75000.0
422,30-34,Man,Germany,Master’s degree,1-3 years,2,No experience,Broadcasting/Communications,Medium,Small,Data Analyst,35000.0
428,25-29,Man,Germany,Master’s degree,5-10 years,1,2-3 years,Academics/Education,Large,Medium,Data Engineer,39176.71626648631
429,45-49,Man,Spain,Master’s degree,5-10 years,2,5-10 years,Accounting/Finance,Large,Large,Data Scientist,112500.0
439,30-34,Man,France,Master’s degree,1-3 years,4,1-2 years,Marketing/CRM,Small,Small,Data Analyst,27500.0
446,40-44,Man,Portugal,Doctoral degree,20+ years,1,10-20 years,Accounting/Finance,Small,Small,Data Scientist,22500.0
455,25-29,Woman,UK,Bachelor’s degree,3-5 years,2,No experience,Computers/Technology,Medium,Medium,Data Scientist,55000.0
459,25-29,Man,Russia,Master’s degree,1-3 years,1,1-2 years,Computers/Technology,Large,No team,Data Scientist,12500.0
460,25-29,Man,Russia,High school,5-10 years,2,Under 1 year,Online Business/Internet-based Sales,Large,Small,Data Analyst,22500.0
464,55-59,Man,Italy,Some college,20+ years,4,1-2 years,Manufacturing/Fabrication,Large,No team,Data Analyst,65000.0
475,45-49,Man,Greece,Bachelor’s degree,< 1 years,3,Under 1 year,Medical/Pharmaceutical,Large,No team,Data Analyst,17500.0
485,45-49,Man,Italy,Master’s degree,10-20 years,3,4-5 years,Government/Public Service,Large,Small,Data Analyst,65000.0
493,35-39,Woman,Germany,Master’s degree,1-3 years,1,Under 1 year,Online Service/Internet-based Services,Medium,Small,Data Analyst,45000.0
497,45-49,Man,Russia,Bachelor’s degree,3-5 years,1,2-3 years,Academics/Education,Medium,Large,Data Analyst,39176.71626648631
501,50-54,Man,Spain,Master’s degree,20+ years,3,4-5 years,Accounting/Finance,Small,Small,Data Scientist,500.0
503,30-34,Man,France,Doctoral degree,5-10 years,2,Under 1 year,Computers/Technology,Small,Small,Other,45000.0
510,30-34,Man,Netherlands,Bachelor’s degree,3-5 years,2,3-4 years,Retail/Sales,Medium,Small,Data Scientist,65000.0
511,25-29,Woman,Romania,Master’s degree,1-3 years,2,Under 1 year,Retail/Sales,Large,Large,Data Engineer,1500.0
513,30-34,Woman,UK,Master’s degree,1-3 years,2,Under 1 year,Computers/Technology,Large,Large,Data Analyst,137500.0
523,18-21,Man,Russia,Master’s degree,< 1 years,2,1-2 years,Broadcasting/Communications,Large,No team,Data Engineer,500.0
529,40-44,Man,France,Master’s degree,3-5 years,1,1-2 years,Academics/Education,Large,No team,Other,2500.0
537,55-59,Man,Spain,Master’s degree,20+ years,4,5-10 years,Insurance/Risk Assessment,Large,Small,Data Engineer,55000.0
547,25-29,Man,Denmark,Bachelor’s degree,3-5 years,3,Under 1 year,Computers/Technology,Small,No team,Data Engineer,2500.0
552,55-59,Man,Russia,High school,< 1 years,1,No experience,Medical/Pharmaceutical,Large,No team,Other,500.0
555,30-34,Woman,Russia,Master’s degree,3-5 years,2,4-5 years,Online Service/Internet-based Services,Large,Large,Data Analyst,45000.0
557,45-49,Man,Russia,Master’s degree,20+ years,1,No experience,Insurance/Risk Assessment,Medium,Small,Data Engineer,65000.0
563,25-29,Man,Russia,Master’s degree,5-10 years,2,1-2 years,Medical/Pharmaceutical,Small,Medium,Data Engineer,22500.0
565,22-24,Woman,Ukraine,Master’s degree,3-5 years,2,2-3 years,Shipping/Transportation,Medium,Small,Data Engineer,22500.0
574,45-49,Man,Ireland,Doctoral degree,< 1 years,3,Under 1 year,Other,Small,Small,Other,22500.0
576,25-29,Man,France,Doctoral degree,5-10 years,3,5-10 years,Computers/Technology,Medium,Small,Data Engineer,75000.0
583,45-49,Man,Spain,Doctoral degree,20+ years,2,20 or more years,Academics/Education,Large,Medium,Data Scientist,55000.0
584,25-29,Man,Ireland,Bachelor’s degree,5-10 years,4,Under 1 year,Government/Public Service,Large,No team,Data Engineer,35000.0
590,35-39,Man,Germany,Master’s degree,20+ years,2,Under 1 year,Shipping/Transportation,Large,Small,Data Analyst,55000.0
595,35-39,Man,Italy,Doctoral degree,5-10 years,3,3-4 years,Energy/Mining,Large,Large,Data Scientist,35000.0
598,35-39,Woman,Germany,Doctoral degree,1-3 years,1,1-2 years,Other,Large,No team,Other,65000.0
606,35-39,Woman,France,Doctoral degree,1-3 years,4,2-3 years,Other,Large,Small,Data Scientist,95000.0
609,22-24,Man,UK,Master’s degree,3-5 years,4,1-2 years,Insurance/Risk Assessment,Large,Large,Other,45000.0
610,50-54,Man,Portugal,Doctoral degree,10-20 years,4,5-10 years,Government/Public Service,Large,Small,Data Scientist,55000.0
612,40-44,Man,Russia,Master’s degree,20+ years,3,10-20 years,Academics/Education,Large,Large,Data Scientist,1500.0
625,30-34,Man,Poland,I prefer not to answer,< 1 years,3,Under 1 year,Shipping/Transportation,Large,No team,Data Analyst,12500.0
630,22-24,Man,UK,Bachelor’s degree,5-10 years,2,4-5 years,Accounting/Finance,Large,Large,Data Engineer,65000.0
631,40-44,Woman,France,Doctoral degree,20+ years,1,10-20 years,Computers/Technology,Large,Medium,Data Engineer,65000.0
634,30-34,Woman,Netherlands,Bachelor’s degree,5-10 years,3,4-5 years,Government/Public Service,Large,Small,Data Scientist,65000.0
637,22-24,Man,Russia,Master’s degree,5-10 years,1,2-3 years,Medical/Pharmaceutical,Large,Large,Data Engineer,12500.0
638,30-34,Woman,Portugal,Master’s degree,5-10 years,2,No experience,Accounting/Finance,Medium,Small,Data Analyst,17500.0
646,30-34,Man,Germany,Master’s degree,10-20 years,4,2-3 years,Retail/Sales,Large,Large,Data Scientist,85000.0
647,25-29,Woman,Germany,Bachelor’s degree,1-3 years,2,Under 1 year,Other,Large,Small,Data Analyst,55000.0
661,35-39,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Manufacturing/Fabrication,Large,Small,Data Analyst,17500.0
665,30-34,Man,Germany,Master’s degree,1-3 years,4,1-2 years,Energy/Mining,Small,Medium,Data Scientist,65000.0
669,22-24,Man,Greece,Master’s degree,3-5 years,2,3-4 years,Online Service/Internet-based Services,Medium,Small,Data Engineer,27500.0
672,35-39,Woman,Spain,Doctoral degree,10-20 years,1,3-4 years,Computers/Technology,Small,Small,Data Scientist,45000.0
674,50-54,Man,Belgium,Master’s degree,20+ years,3,3-4 years,Computers/Technology,Small,No team,Data Engineer,500.0
690,50-54,Man,Spain,Master’s degree,10-20 years,2,Under 1 year,Other,Large,No team,Data Analyst,65000.0
693,35-39,Man,UK,Doctoral degree,5-10 years,1,2-3 years,Military/Security/Defense,Small,Small,Data Scientist,95000.0
698,25-29,Man,Russia,Master’s degree,10-20 years,4,4-5 years,Computers/Technology,Medium,Small,Data Engineer,95000.0
715,45-49,Man,Poland,Master’s degree,20+ years,4,1-2 years,Computers/Technology,Large,Small,Data Engineer,95000.0
716,25-29,Man,Germany,Master’s degree,3-5 years,4,4-5 years,Manufacturing/Fabrication,Medium,Small,Data Scientist,65000.0
718,40-44,Man,Germany,Master’s degree,< 1 years,1,Under 1 year,Manufacturing/Fabrication,Large,Small,Data Analyst,8750.0
723,30-34,Man,Russia,Some college,< 1 years,1,No experience,Medical/Pharmaceutical,Small,No team,Other,6250.0
725,30-34,Woman,Netherlands,Doctoral degree,< 1 years,2,Under 1 year,Academics/Education,Large,Small,Data Scientist,35000.0
727,50-54,Man,Italy,Bachelor’s degree,20+ years,2,Under 1 year,Manufacturing/Fabrication,Large,Small,Data Analyst,55000.0
730,22-24,Man,Poland,Master’s degree,3-5 years,3,2-3 years,Online Service/Internet-based Services,Medium,Medium,Data Scientist,45000.0
742,30-34,Man,Portugal,Doctoral degree,5-10 years,4,4-5 years,Computers/Technology,Medium,Small,Data Engineer,65000.0
750,30-34,Man,Germany,Doctoral degree,10-20 years,2,2-3 years,Marketing/CRM,Large,Medium,Data Analyst,39176.71626648631
752,55-59,Man,UK,Doctoral degree,20+ years,3,10-20 years,Other,Small,Small,Data Scientist,95000.0
754,55-59,Man,Germany,Doctoral degree,20+ years,4,3-4 years,Computers/Technology,Small,Small,Data Engineer,95000.0
755,22-24,Man,Poland,Bachelor’s degree,1-3 years,1,Under 1 year,Accounting/Finance,Large,No team,Data Engineer,45000.0
757,30-34,Woman,Germany,Master’s degree,5-10 years,1,Under 1 year,Shipping/Transportation,Large,Small,Data Analyst,65000.0
765,55-59,Man,Netherlands,Master’s degree,20+ years,1,20 or more years,Computers/Technology,Large,Small,Data Scientist,112500.0
774,40-44,Man,Spain,Doctoral degree,5-10 years,4,5-10 years,Academics/Education,Small,Small,Data Scientist,65000.0
779,30-34,Woman,Russia,Master’s degree,5-10 years,2,Under 1 year,Computers/Technology,Small,Small,Data Analyst,8750.0
780,50-54,Man,UK,Some college,20+ years,3,Under 1 year,Retail/Sales,Large,Small,Data Analyst,45000.0
784,30-34,Man,France,Master’s degree,5-10 years,3,4-5 years,Insurance/Risk Assessment,Large,Large,Data Analyst,112500.0
794,22-24,Woman,France,Master’s degree,3-5 years,1,2-3 years,Insurance/Risk Assessment,Large,Large,Data Scientist,75000.0
801,45-49,Man,Spain,Bachelor’s degree,5-10 years,3,1-2 years,Government/Public Service,Large,Large,Data Analyst,65000.0
804,50-54,Woman,Poland,Master’s degree,< 1 years,1,No experience,Academics/Education,Large,Medium,Data Analyst,1500.0
805,18-21,Man,Russia,Bachelor’s degree,3-5 years,1,2-3 years,Computers/Technology,Small,Small,Data Engineer,500.0
811,25-29,Man,France,Master’s degree,3-5 years,1,2-3 years,Manufacturing/Fabrication,Large,Small,Data Analyst,112500.0
812,30-34,Man,Austria,Doctoral degree,5-10 years,1,4-5 years,Marketing/CRM,Small,Small,Data Scientist,12500.0
815,30-34,Man,Sweden,High school,1-3 years,3,Under 1 year,Shipping/Transportation,Large,Small,Other,55000.0
821,50-54,Man,Ireland,Doctoral degree,< 1 years,1,Under 1 year,Government/Public Service,Large,Small,Other,112500.0
822,40-44,Man,Ukraine,Master’s degree,3-5 years,2,1-2 years,Other,Small,Small,Data Analyst,39176.71626648631
828,30-34,Man,Austria,Bachelor’s degree,10-20 years,4,2-3 years,Shipping/Transportation,Large,Small,Data Engineer,55000.0
829,30-34,Man,Germany,Master’s degree,5-10 years,3,4-5 years,Computers/Technology,Large,Large,Data Scientist,35000.0
833,35-39,Man,Ukraine,Bachelor’s degree,10-20 years,1,Under 1 year,Academics/Education,Medium,Large,Data Engineer,1500.0
834,30-34,Man,UK,Master’s degree,< 1 years,2,Under 1 year,Shipping/Transportation,Large,Large,Data Analyst,35000.0
842,25-29,Man,Spain,Master’s degree,5-10 years,2,4-5 years,Online Service/Internet-based Services,Large,Small,Data Scientist,65000.0
845,25-29,Man,Belgium,Master’s degree,5-10 years,4,1-2 years,Other,Small,Small,Data Scientist,27500.0
848,22-24,Man,Greece,Master’s degree,5-10 years,2,1-2 years,Energy/Mining,Small,Small,Data Engineer,17500.0
850,22-24,Man,UK,Bachelor’s degree,3-5 years,2,1-2 years,Retail/Sales,Large,Small,Data Scientist,35000.0
851,22-24,Man,Belgium,Master’s degree,1-3 years,4,1-2 years,Academics/Education,Small,Small,Data Engineer,500.0
865,35-39,Man,Germany,Bachelor’s degree,1-3 years,1,1-2 years,Manufacturing/Fabrication,Large,Large,Other,95000.0
869,30-34,Man,France,Doctoral degree,3-5 years,1,Under 1 year,Academics/Education,Large,Large,Data Scientist,17500.0
886,30-34,Woman,Germany,Master’s degree,< 1 years,1,No experience,Manufacturing/Fabrication,Large,Large,Data Analyst,65000.0
891,40-44,Man,Germany,Master’s degree,5-10 years,3,3-4 years,Online Service/Internet-based Services,Small,Small,Data Scientist,85000.0
892,45-49,Man,Spain,Bachelor’s degree,1-3 years,3,3-4 years,Hospitality/Entertainment/Sports,Small,Small,Data Engineer,137500.0
900,55-59,Man,Spain,Master’s degree,20+ years,1,3-4 years,Government/Public Service,Large,Large,Data Scientist,55000.0
901,22-24,Man,Russia,Master’s degree,1-3 years,2,Under 1 year,Non-profit/Service,Large,Small,Data Engineer,12500.0
910,25-29,Man,Russia,Master’s degree,5-10 years,4,3-4 years,Hospitality/Entertainment/Sports,Large,Small,Data Engineer,45000.0
913,55-59,Man,Germany,Doctoral degree,20+ years,4,5-10 years,Computers/Technology,Large,Small,Data Engineer,35000.0
918,50-54,Man,Germany,Doctoral degree,10-20 years,3,10-20 years,Government/Public Service,Large,Small,Data Scientist,65000.0
919,35-39,Man,Netherlands,Master’s degree,1-3 years,1,No experience,Non-profit/Service,Large,Small,Data Analyst,85000.0
922,45-49,Man,Italy,Some college,10-20 years,2,No experience,Computers/Technology,Large,Small,Data Engineer,27500.0
936,25-29,Man,UK,Master’s degree,3-5 years,2,1-2 years,Other,Large,Large,Data Scientist,55000.0
938,45-49,Man,Russia,Master’s degree,20+ years,3,5-10 years,Retail/Sales,Large,Small,Data Analyst,112500.0
939,25-29,Man,Spain,Master’s degree,3-5 years,1,1-2 years,Broadcasting/Communications,Large,Small,Data Scientist,45000.0
943,25-29,Man,Germany,Doctoral degree,5-10 years,2,4-5 years,Military/Security/Defense,Small,Medium,Data Scientist,112500.0
944,45-49,Man,Sweden,Master’s degree,20+ years,4,4-5 years,Manufacturing/Fabrication,Large,Small,Data Scientist,112500.0
948,25-29,Man,Spain,Doctoral degree,5-10 years,3,5-10 years,Academics/Education,Small,Small,Data Scientist,22500.0
952,35-39,Man,Denmark,Doctoral degree,< 1 years,1,Under 1 year,Computers/Technology,Small,Small,Data Scientist,75000.0
955,45-49,Man,Spain,Bachelor’s degree,5-10 years,2,Under 1 year,Manufacturing/Fabrication,Medium,Small,Data Engineer,45000.0
961,45-49,Man,Russia,Master’s degree,20+ years,1,1-2 years,Other,Large,Large,Data Analyst,55000.0
962,22-24,Man,UK,Bachelor’s degree,1-3 years,1,1-2 years,Medical/Pharmaceutical,Large,Large,Data Analyst,45000.0
967,45-49,Man,Belgium,Master’s degree,1-3 years,2,No experience,Online Service/Internet-based Services,Large,Small,Data Analyst,75000.0
998,25-29,Man,Spain,Master’s degree,3-5 years,2,1-2 years,Insurance/Risk Assessment,Large,Small,Data Scientist,35000.0
1001,50-54,Man,Spain,Master’s degree,20+ years,2,1-2 years,Medical/Pharmaceutical,Small,No team,Data Engineer,45000.0
1006,25-29,Man,Netherlands,Master’s degree,3-5 years,3,2-3 years,Insurance/Risk Assessment,Large,Large,Data Scientist,65000.0
1008,25-29,Man,Russia,I prefer not to answer,1-3 years,1,1-2 years,Academics/Education,Small,No team,Data Engineer,500.0
1011,40-44,Man,Netherlands,Bachelor’s degree,10-20 years,1,3-4 years,Government/Public Service,Medium,Small,Data Scientist,75000.0
1017,30-34,Man,Portugal,Master’s degree,< 1 years,1,No experience,Accounting/Finance,Large,Large,Other,12500.0
1020,35-39,Woman,Ukraine,I prefer not to answer,5-10 years,3,No experience,Manufacturing/Fabrication,Large,No team,Data Engineer,1500.0
1026,30-34,Man,Russia,Some college,10-20 years,4,Under 1 year,Computers/Technology,Small,No team,Data Engineer,45000.0
1036,40-44,Man,France,Master’s degree,< 1 years,3,Under 1 year,Shipping/Transportation,Small,Small,Data Analyst,500.0
1040,55-59,Man,Netherlands,Doctoral degree,20+ years,4,20 or more years,Accounting/Finance,Large,Small,Data Scientist,112500.0
1041,35-39,Man,France,Doctoral degree,5-10 years,2,5-10 years,Academics/Education,Large,Large,Data Scientist,27500.0
1051,50-54,Man,Italy,Bachelor’s degree,10-20 years,4,2-3 years,Broadcasting/Communications,Large,Small,Data Engineer,35000.0
1057,35-39,Man,France,Doctoral degree,20+ years,1,Under 1 year,Computers/Technology,Large,Large,Data Analyst,35000.0
1067,30-34,Man,France,Master’s degree,1-3 years,2,Under 1 year,Energy/Mining,Large,Small,Other,27500.0
1068,35-39,Man,France,Master’s degree,10-20 years,3,Under 1 year,Computers/Technology,Large,Small,Data Analyst,55000.0
1070,25-29,Man,Russia,Bachelor’s degree,3-5 years,3,1-2 years,Medical/Pharmaceutical,Medium,Small,Data Scientist,500.0
1072,45-49,Woman,UK,Doctoral degree,< 1 years,3,Under 1 year,Academics/Education,Small,Small,Data Scientist,27500.0
1090,22-24,Man,Ireland,Master’s degree,5-10 years,3,2-3 years,Computers/Technology,Large,Large,Data Engineer,45000.0
1091,50-54,Man,UK,Master’s degree,5-10 years,2,1-2 years,Computers/Technology,Large,Medium,Data Scientist,137500.0
1102,40-44,Man,Spain,Some college,10-20 years,4,Under 1 year,Computers/Technology,Small,Small,Data Engineer,65000.0
1104,45-49,Man,Spain,Doctoral degree,10-20 years,3,10-20 years,Broadcasting/Communications,Large,Small,Data Analyst,55000.0
1105,45-49,Man,Denmark,Doctoral degree,20+ years,2,10-20 years,Computers/Technology,Large,Medium,Data Analyst,137500.0
1108,45-49,Man,Spain,Master’s degree,10-20 years,4,2-3 years,Retail/Sales,Large,Small,Data Analyst,45000.0
1120,25-29,Man,Germany,Master’s degree,1-3 years,2,Under 1 year,Broadcasting/Communications,Large,Small,Data Scientist,55000.0
1130,35-39,Man,UK,Master’s degree,< 1 years,1,No experience,Energy/Mining,Large,Medium,Other,39176.71626648631
1131,25-29,Man,Spain,Some college,3-5 years,2,2-3 years,Retail/Sales,Large,Medium,Data Analyst,27500.0
1133,30-34,Man,Italy,Doctoral degree,3-5 years,2,3-4 years,Computers/Technology,Small,Small,Data Engineer,45000.0
1135,50-54,Man,Russia,Master’s degree,< 1 years,2,1-2 years,Computers/Technology,Large,Large,Data Analyst,12500.0
1137,45-49,Man,Germany,High school,20+ years,2,20 or more years,Academics/Education,Large,Small,Data Engineer,2500.0
1139,22-24,Man,Poland,Master’s degree,< 1 years,1,Under 1 year,Accounting/Finance,Large,Large,Data Analyst,12500.0
1146,30-34,Man,Germany,Bachelor’s degree,3-5 years,4,2-3 years,Accounting/Finance,Large,Large,Data Scientist,85000.0
1155,35-39,Man,Russia,Master’s degree,10-20 years,3,1-2 years,Accounting/Finance,Large,Large,Data Analyst,137500.0
1165,35-39,Man,Italy,Master’s degree,10-20 years,2,5-10 years,Computers/Technology,Large,Small,Data Engineer,55000.0
1181,55-59,Man,Germany,Doctoral degree,3-5 years,2,5-10 years,Other,Small,Small,Data Scientist,112500.0
1185,40-44,Man,Germany,Doctoral degree,20+ years,4,2-3 years,Marketing/CRM,Medium,Small,Data Engineer,65000.0
1198,30-34,Woman,Ireland,Doctoral degree,< 1 years,3,Under 1 year,Academics/Education,Large,Large,Data Scientist,45000.0
1212,25-29,Man,Russia,Bachelor’s degree,< 1 years,2,No experience,Accounting/Finance,Small,No team,Data Scientist,8750.0
1215,45-49,Man,Spain,Master’s degree,5-10 years,4,Under 1 year,Academics/Education,Small,No team,Data Engineer,1500.0
1230,35-39,Man,Spain,Master’s degree,10-20 years,3,5-10 years,Broadcasting/Communications,Large,Small,Data Scientist,65000.0
