,country,experience_ml,age,role_group,gender,salary_avg
71,Germany,5-10 years,35-39,Data Scientist,Man,112500.0
72,Spain,5-10 years,35-39,Other,Man,75000.0
73,Germany,No experience,30-34,Data Analyst,Man,35000.0
74,Germany,2-3 years,25-29,Data Engineer,Man,39176.71626648631
75,Spain,5-10 years,45-49,Data Scientist,Man,112500.0
76,France,1-2 years,30-34,Data Analyst,Man,27500.0
77,Portugal,10-20 years,40-44,Data Scientist,Man,22500.0
78,UK,No experience,25-29,Data Scientist,Woman,55000.0
79,Russia,1-2 years,25-29,Data Scientist,Man,12500.0
80,Russia,Under 1 year,25-29,Data Analyst,Man,22500.0
81,Italy,1-2 years,55-59,Data Analyst,Man,65000.0
82,Greece,Under 1 year,45-49,Data Analyst,Man,17500.0
83,Italy,4-5 years,45-49,Data Analyst,Man,65000.0
84,Germany,Under 1 year,35-39,Data Analyst,Woman,45000.0
85,Russia,2-3 years,45-49,Data Analyst,Man,39176.71626648631
86,Spain,4-5 years,50-54,Data Scientist,Man,500.0
87,France,Under 1 year,30-34,Other,Man,45000.0
88,Netherlands,3-4 years,30-34,Data Scientist,Man,65000.0
89,Romania,Under 1 year,25-29,Data Engineer,Woman,1500.0
90,UK,Under 1 year,30-34,Data Analyst,Woman,137500.0
91,Russia,1-2 years,18-21,Data Engineer,Man,500.0
92,France,1-2 years,40-44,Other,Man,2500.0
93,Spain,5-10 years,55-59,Data Engineer,Man,55000.0
94,Denmark,Under 1 year,25-29,Data Engineer,Man,2500.0
95,Russia,No experience,55-59,Other,Man,500.0
96,Russia,4-5 years,30-34,Data Analyst,Woman,45000.0
97,Russia,No experience,45-49,Data Engineer,Man,65000.0
98,Russia,1-2 years,25-29,Data Engineer,Man,22500.0
99,Ukraine,2-3 years,22-24,Data Engineer,Woman,22500.0
100,Ireland,Under 1 year,45-49,Other,Man,22500.0
101,France,5-10 years,25-29,Data Engineer,Man,75000.0
102,Spain,20 or more years,45-49,Data Scientist,Man,55000.0
103,Ireland,Under 1 year,25-29,Data Engineer,Man,35000.0
104,Germany,Under 1 year,35-39,Data Analyst,Man,55000.0
105,Italy,3-4 years,35-39,Data Scientist,Man,35000.0
106,Germany,1-2 years,35-39,Other,Woman,65000.0
107,France,2-3 years,35-39,Data Scientist,Woman,95000.0
108,UK,1-2 years,22-24,Other,Man,45000.0
109,Portugal,5-10 years,50-54,Data Scientist,Man,55000.0
110,Russia,10-20 years,40-44,Data Scientist,Man,1500.0
111,Poland,Under 1 year,30-34,Data Analyst,Man,12500.0
112,UK,4-5 years,22-24,Data Engineer,Man,65000.0
113,France,10-20 years,40-44,Data Engineer,Woman,65000.0
114,Netherlands,4-5 years,30-34,Data Scientist,Woman,65000.0
115,Russia,2-3 years,22-24,Data Engineer,Man,12500.0
116,Portugal,No experience,30-34,Data Analyst,Woman,17500.0
117,Germany,2-3 years,30-34,Data Scientist,Man,85000.0
118,Germany,Under 1 year,25-29,Data Analyst,Woman,55000.0
119,Russia,Under 1 year,35-39,Data Analyst,Man,17500.0
120,Germany,1-2 years,30-34,Data Scientist,Man,65000.0
121,Greece,3-4 years,22-24,Data Engineer,Man,27500.0
122,Spain,3-4 years,35-39,Data Scientist,Woman,45000.0
123,Belgium,3-4 years,50-54,Data Engineer,Man,500.0
124,Spain,Under 1 year,50-54,Data Analyst,Man,65000.0
125,UK,2-3 years,35-39,Data Scientist,Man,95000.0
126,Russia,4-5 years,25-29,Data Engineer,Man,95000.0
127,Poland,1-2 years,45-49,Data Engineer,Man,95000.0
128,Germany,4-5 years,25-29,Data Scientist,Man,65000.0
129,Germany,Under 1 year,40-44,Data Analyst,Man,8750.0
130,Russia,No experience,30-34,Other,Man,6250.0
131,Netherlands,Under 1 year,30-34,Data Scientist,Woman,35000.0
132,Italy,Under 1 year,50-54,Data Analyst,Man,55000.0
133,Poland,2-3 years,22-24,Data Scientist,Man,45000.0
134,Portugal,4-5 years,30-34,Data Engineer,Man,65000.0
135,Germany,2-3 years,30-34,Data Analyst,Man,39176.71626648631
136,UK,10-20 years,55-59,Data Scientist,Man,95000.0
137,Germany,3-4 years,55-59,Data Engineer,Man,95000.0
138,Poland,Under 1 year,22-24,Data Engineer,Man,45000.0
139,Germany,Under 1 year,30-34,Data Analyst,Woman,65000.0
140,Netherlands,20 or more years,55-59,Data Scientist,Man,112500.0
141,Spain,5-10 years,40-44,Data Scientist,Man,65000.0
142,Russia,Under 1 year,30-34,Data Analyst,Woman,8750.0
143,UK,Under 1 year,50-54,Data Analyst,Man,45000.0
144,France,4-5 years,30-34,Data Analyst,Man,112500.0
145,France,2-3 years,22-24,Data Scientist,Woman,75000.0
146,Spain,1-2 years,45-49,Data Analyst,Man,65000.0
147,Poland,No experience,50-54,Data Analyst,Woman,1500.0
148,Russia,2-3 years,18-21,Data Engineer,Man,500.0
149,France,2-3 years,25-29,Data Analyst,Man,112500.0
150,Austria,4-5 years,30-34,Data Scientist,Man,12500.0
151,Sweden,Under 1 year,30-34,Other,Man,55000.0
152,Ireland,Under 1 year,50-54,Other,Man,112500.0
153,Ukraine,1-2 years,40-44,Data Analyst,Man,39176.71626648631
154,Austria,2-3 years,30-34,Data Engineer,Man,55000.0
155,Germany,4-5 years,30-34,Data Scientist,Man,35000.0
156,Ukraine,Under 1 year,35-39,Data Engineer,Man,1500.0
157,UK,Under 1 year,30-34,Data Analyst,Man,35000.0
158,Spain,4-5 years,25-29,Data Scientist,Man,65000.0
159,Belgium,1-2 years,25-29,Data Scientist,Man,27500.0
160,Greece,1-2 years,22-24,Data Engineer,Man,17500.0
161,UK,1-2 years,22-24,Data Scientist,Man,35000.0
162,Belgium,1-2 years,22-24,Data Engineer,Man,500.0
163,Germany,1-2 years,35-39,Other,Man,95000.0
164,France,Under 1 year,30-34,Data Scientist,Man,17500.0
165,Germany,No experience,30-34,Data Analyst,Woman,65000.0
166,Germany,3-4 years,40-44,Data Scientist,Man,85000.0
167,Spain,3-4 years,45-49,Data Engineer,Man,137500.0
168,Spain,3-4 years,55-59,Data Scientist,Man,55000.0
169,Russia,Under 1 year,22-24,Data Engineer,Man,12500.0
170,Russia,3-4 years,25-29,Data Engineer,Man,45000.0
171,Germany,5-10 years,55-59,Data Engineer,Man,35000.0
172,Germany,10-20 years,50-54,Data Scientist,Man,65000.0
173,Netherlands,No experience,35-39,Data Analyst,Man,85000.0
174,Italy,No experience,45-49,Data Engineer,Man,27500.0
175,UK,1-2 years,25-29,Data Scientist,Man,55000.0
176,Russia,5-10 years,45-49,Data Analyst,Man,112500.0
177,Spain,1-2 years,25-29,Data Scientist,Man,45000.0
178,Germany,4-5 years,25-29,Data Scientist,Man,112500.0
179,Sweden,4-5 years,45-49,Data Scientist,Man,112500.0
180,Spain,5-10 years,25-29,Data Scientist,Man,22500.0
181,Denmark,Under 1 year,35-39,Data Scientist,Man,75000.0
182,Spain,Under 1 year,45-49,Data Engineer,Man,45000.0
183,Russia,1-2 years,45-49,Data Analyst,Man,55000.0
184,UK,1-2 years,22-24,Data Analyst,Man,45000.0
185,Belgium,No experience,45-49,Data Analyst,Man,75000.0
186,Spain,1-2 years,25-29,Data Scientist,Man,35000.0
187,Spain,1-2 years,50-54,Data Engineer,Man,45000.0
188,Netherlands,2-3 years,25-29,Data Scientist,Man,65000.0
189,Russia,1-2 years,25-29,Data Engineer,Man,500.0
190,Netherlands,3-4 years,40-44,Data Scientist,Man,75000.0
191,Portugal,No experience,30-34,Other,Man,12500.0
192,Ukraine,No experience,35-39,Data Engineer,Woman,1500.0
193,Russia,Under 1 year,30-34,Data Engineer,Man,45000.0
194,France,Under 1 year,40-44,Data Analyst,Man,500.0
195,Netherlands,20 or more years,55-59,Data Scientist,Man,112500.0
196,France,5-10 years,35-39,Data Scientist,Man,27500.0
197,Italy,2-3 years,50-54,Data Engineer,Man,35000.0
198,France,Under 1 year,35-39,Data Analyst,Man,35000.0
199,France,Under 1 year,30-34,Other,Man,27500.0
200,France,Under 1 year,35-39,Data Analyst,Man,55000.0
201,Russia,1-2 years,25-29,Data Scientist,Man,500.0
202,UK,Under 1 year,45-49,Data Scientist,Woman,27500.0
203,Ireland,2-3 years,22-24,Data Engineer,Man,45000.0
204,UK,1-2 years,50-54,Data Scientist,Man,137500.0
205,Spain,Under 1 year,40-44,Data Engineer,Man,65000.0
206,Spain,10-20 years,45-49,Data Analyst,Man,55000.0
207,Denmark,10-20 years,45-49,Data Analyst,Man,137500.0
208,Spain,2-3 years,45-49,Data Analyst,Man,45000.0
209,Germany,Under 1 year,25-29,Data Scientist,Man,55000.0
210,UK,No experience,35-39,Other,Man,39176.71626648631
211,Spain,2-3 years,25-29,Data Analyst,Man,27500.0
212,Italy,3-4 years,30-34,Data Engineer,Man,45000.0
213,Russia,1-2 years,50-54,Data Analyst,Man,12500.0
214,Germany,20 or more years,45-49,Data Engineer,Man,2500.0
215,Poland,Under 1 year,22-24,Data Analyst,Man,12500.0
216,Germany,2-3 years,30-34,Data Scientist,Man,85000.0
217,Russia,1-2 years,35-39,Data Analyst,Man,137500.0
218,Italy,5-10 years,35-39,Data Engineer,Man,55000.0
219,Germany,5-10 years,55-59,Data Scientist,Man,112500.0
220,Germany,2-3 years,40-44,Data Engineer,Man,65000.0
221,Ireland,Under 1 year,30-34,Data Scientist,Woman,45000.0
222,Russia,No experience,25-29,Data Scientist,Man,8750.0
223,Spain,Under 1 year,45-49,Data Engineer,Man,1500.0
224,Spain,5-10 years,35-39,Data Scientist,Man,65000.0
225,Italy,Under 1 year,55-59,Other,Man,500.0
226,Russia,Under 1 year,22-24,Data Analyst,Woman,1500.0
227,UK,20 or more years,45-49,Data Scientist,Man,137500.0
228,Russia,2-3 years,25-29,Data Scientist,Man,35000.0
229,Russia,No experience,30-34,Data Analyst,Man,1500.0
230,Italy,1-2 years,25-29,Data Scientist,Man,1500.0
231,Spain,5-10 years,35-39,Data Scientist,Man,1500.0
232,Ireland,3-4 years,40-44,Data Engineer,Man,45000.0
233,Russia,Under 1 year,22-24,Data Scientist,Man,500.0
234,Russia,No experience,25-29,Other,Man,8750.0
235,Spain,3-4 years,45-49,Data Scientist,Man,55000.0
236,France,Under 1 year,30-34,Data Scientist,Man,35000.0
237,Russia,1-2 years,18-21,Data Engineer,Man,85000.0
238,Russia,Under 1 year,40-44,Other,Man,22500.0
239,Germany,Under 1 year,50-54,Data Engineer,Man,112500.0
240,Spain,2-3 years,25-29,Data Scientist,Man,17500.0
241,Ukraine,3-4 years,22-24,Data Scientist,Woman,39176.71626648631
242,UK,Under 1 year,30-34,Data Engineer,Man,85000.0
243,Russia,Under 1 year,35-39,Data Engineer,Man,17500.0
244,Spain,No experience,25-29,Other,Man,35000.0
245,Russia,No experience,35-39,Data Engineer,Man,55000.0
246,Poland,4-5 years,30-34,Data Scientist,Man,65000.0
247,France,1-2 years,30-34,Data Analyst,Man,55000.0
248,Russia,Under 1 year,35-39,Data Engineer,Man,8750.0
249,Russia,Under 1 year,22-24,Data Scientist,Man,95000.0
250,Austria,No experience,45-49,Other,Woman,27500.0
251,Russia,5-10 years,30-34,Data Engineer,Man,45000.0
252,Romania,Under 1 year,22-24,Data Engineer,Woman,1500.0
253,Italy,2-3 years,40-44,Data Engineer,Man,35000.0
254,UK,1-2 years,25-29,Data Analyst,Man,55000.0
255,UK,3-4 years,45-49,Data Analyst,Man,55000.0
256,UK,Under 1 year,45-49,Other,Man,112500.0
257,Poland,Under 1 year,22-24,Data Analyst,Man,17500.0
258,Spain,5-10 years,50-54,Other,Man,55000.0
259,Poland,3-4 years,30-34,Data Engineer,Man,137500.0
260,Russia,1-2 years,18-21,Data Scientist,Man,500.0
261,Russia,No experience,30-34,Data Analyst,Man,2500.0
262,Netherlands,4-5 years,30-34,Data Scientist,Man,75000.0
263,UK,1-2 years,35-39,Data Engineer,Woman,85000.0
264,Russia,Under 1 year,22-24,Other,Man,4500.0
265,Poland,Under 1 year,18-21,Data Engineer,Man,500.0
266,France,1-2 years,30-34,Data Analyst,Man,35000.0
267,Denmark,1-2 years,22-24,Data Scientist,Man,17500.0
268,Belarus,1-2 years,22-24,Data Engineer,Man,12500.0
269,Switzerland,3-4 years,35-39,Data Scientist,Man,95000.0
270,Russia,4-5 years,30-34,Data Scientist,Man,27500.0
271,Italy,Under 1 year,25-29,Data Engineer,Man,27500.0
272,Poland,1-2 years,35-39,Data Engineer,Man,22500.0
273,Netherlands,4-5 years,35-39,Data Scientist,Man,65000.0
274,Portugal,1-2 years,35-39,Data Engineer,Man,45000.0
275,Sweden,Under 1 year,40-44,Data Scientist,Man,3500.0
276,Ukraine,1-2 years,45-49,Data Analyst,Man,22500.0
277,Belgium,2-3 years,30-34,Data Scientist,Man,75000.0
278,France,2-3 years,30-34,Other,Man,112500.0
279,Spain,3-4 years,22-24,Data Scientist,Man,12500.0
280,Ukraine,10-20 years,40-44,Data Scientist,Man,3500.0
281,Russia,No experience,18-21,Data Analyst,Man,3500.0
282,Belarus,Under 1 year,25-29,Other,Man,12500.0
283,Romania,5-10 years,30-34,Data Engineer,Man,55000.0
284,Netherlands,5-10 years,25-29,Data Analyst,Man,55000.0
285,Germany,5-10 years,30-34,Data Engineer,Man,75000.0
286,Russia,Under 1 year,25-29,Data Analyst,Man,27500.0
287,UK,5-10 years,30-34,Data Scientist,Man,85000.0
288,Poland,2-3 years,25-29,Data Scientist,Man,65000.0
289,Poland,Under 1 year,25-29,Data Analyst,Woman,500.0
290,Spain,2-3 years,30-34,Data Scientist,Man,22500.0
291,Czech Republic,4-5 years,25-29,Data Scientist,Man,27500.0
292,Russia,Under 1 year,45-49,Data Scientist,Man,500.0
293,Switzerland,No experience,30-34,Data Analyst,Man,39176.71626648631
294,Russia,2-3 years,50-54,Data Analyst,Man,8750.0
295,Spain,10-20 years,40-44,Data Analyst,Man,22500.0
296,Italy,5-10 years,55-59,Data Engineer,Man,112500.0
297,UK,4-5 years,45-49,Data Scientist,Man,85000.0
298,Italy,3-4 years,55-59,Data Analyst,Man,35000.0
299,Portugal,2-3 years,45-49,Data Analyst,Man,65000.0
300,Czech Republic,1-2 years,40-44,Data Scientist,Woman,27500.0
301,France,Under 1 year,40-44,Other,Man,55000.0
302,Czech Republic,Under 1 year,22-24,Data Engineer,Woman,22500.0
303,Netherlands,5-10 years,50-54,Data Engineer,Man,45000.0
304,France,Under 1 year,45-49,Other,Man,65000.0
305,Portugal,5-10 years,35-39,Data Analyst,Man,75000.0
306,Russia,1-2 years,18-21,Data Engineer,Man,500.0
307,Germany,Under 1 year,25-29,Data Scientist,Man,22500.0
308,Italy,2-3 years,25-29,Data Scientist,Man,35000.0
309,Russia,No experience,30-34,Data Scientist,Man,22500.0
310,Switzerland,5-10 years,30-34,Data Scientist,Man,112500.0
311,Belgium,3-4 years,40-44,Data Engineer,Man,2500.0
312,Sweden,5-10 years,30-34,Other,Man,27500.0
313,Ukraine,Under 1 year,30-34,Data Engineer,Man,2500.0
314,Czech Republic,3-4 years,40-44,Data Engineer,Man,75000.0
315,Russia,Under 1 year,25-29,Data Engineer,Man,2500.0
316,Germany,Under 1 year,35-39,Data Analyst,Man,137500.0
317,Spain,1-2 years,45-49,Data Engineer,Man,55000.0
318,Poland,Under 1 year,25-29,Data Analyst,Other,1500.0
319,Italy,2-3 years,25-29,Data Scientist,Man,27500.0
320,Belarus,2-3 years,25-29,Data Scientist,Man,6250.0
321,UK,Under 1 year,55-59,Data Engineer,Man,65000.0
322,Russia,Under 1 year,25-29,Data Scientist,Man,12500.0
323,UK,Under 1 year,30-34,Data Analyst,Man,12500.0
324,Romania,Under 1 year,22-24,Data Analyst,Man,27500.0
325,Ireland,2-3 years,25-29,Data Engineer,Man,45000.0
326,Germany,10-20 years,40-44,Data Analyst,Man,112500.0
327,Poland,No experience,25-29,Data Scientist,Man,17500.0
328,Italy,5-10 years,45-49,Data Scientist,Man,35000.0
329,France,Under 1 year,40-44,Data Scientist,Man,1500.0
330,Poland,Under 1 year,25-29,Data Analyst,Man,12500.0
331,UK,Under 1 year,45-49,Other,Man,112500.0
332,Netherlands,Under 1 year,25-29,Other,Man,45000.0
333,Germany,5-10 years,40-44,Other,Man,65000.0
334,Czech Republic,5-10 years,30-34,Data Engineer,Man,45000.0
335,UK,3-4 years,40-44,Data Scientist,Man,75000.0
336,Sweden,2-3 years,35-39,Other,Man,75000.0
337,Germany,No experience,30-34,Data Analyst,Man,55000.0
338,Russia,Under 1 year,25-29,Data Scientist,Man,39176.71626648631
339,Germany,1-2 years,40-44,Data Analyst,Man,85000.0
340,Romania,1-2 years,22-24,Data Engineer,Man,17500.0
341,Portugal,1-2 years,25-29,Data Engineer,Woman,500.0
342,UK,1-2 years,50-54,Data Analyst,Man,55000.0
343,Russia,Under 1 year,30-34,Data Engineer,Man,12500.0
344,Germany,Under 1 year,30-34,Data Analyst,Woman,65000.0
345,Spain,5-10 years,35-39,Data Scientist,Woman,65000.0
346,UK,1-2 years,35-39,Data Engineer,Man,75000.0
347,UK,2-3 years,22-24,Other,Man,85000.0
348,Germany,2-3 years,35-39,Data Engineer,Woman,112500.0
349,Sweden,3-4 years,30-34,Data Scientist,Man,35000.0
350,UK,3-4 years,40-44,Data Scientist,Man,112500.0
351,Portugal,4-5 years,25-29,Data Scientist,Man,12500.0
352,Italy,5-10 years,40-44,Data Scientist,Man,45000.0
353,Netherlands,1-2 years,25-29,Data Analyst,Man,65000.0
354,Russia,1-2 years,30-34,Data Engineer,Man,27500.0
355,Germany,Under 1 year,40-44,Data Engineer,Man,112500.0
356,Belarus,Under 1 year,18-21,Data Engineer,Man,6250.0
357,Spain,No experience,25-29,Data Analyst,Woman,45000.0
358,Spain,Under 1 year,30-34,Other,Man,35000.0
359,Poland,Under 1 year,25-29,Data Engineer,Man,39176.71626648631
360,Netherlands,3-4 years,30-34,Data Scientist,Man,75000.0
361,Italy,1-2 years,25-29,Data Scientist,Man,1500.0
362,Ukraine,Under 1 year,22-24,Data Engineer,Man,2500.0
363,Russia,2-3 years,35-39,Data Engineer,Man,35000.0
364,Romania,No experience,45-49,Data Engineer,Man,12500.0
365,Ukraine,3-4 years,30-34,Data Engineer,Woman,3500.0
366,France,10-20 years,45-49,Data Scientist,Man,45000.0
367,Germany,Under 1 year,30-34,Data Scientist,Man,65000.0
368,Germany,Under 1 year,40-44,Data Engineer,Woman,55000.0
369,Belgium,No experience,45-49,Data Engineer,Man,39176.71626648631
370,Italy,2-3 years,25-29,Data Scientist,Man,1500.0
371,Sweden,3-4 years,35-39,Data Engineer,Man,35000.0
372,Germany,1-2 years,25-29,Data Analyst,Man,3500.0
373,Italy,2-3 years,40-44,Data Scientist,Man,35000.0
374,France,5-10 years,35-39,Data Engineer,Man,85000.0
375,UK,Under 1 year,22-24,Data Scientist,Man,45000.0
376,Netherlands,5-10 years,45-49,Data Scientist,Man,137500.0
377,UK,4-5 years,50-54,Data Engineer,Man,137500.0
378,Germany,5-10 years,55-59,Data Scientist,Man,137500.0
379,Germany,2-3 years,25-29,Data Engineer,Man,55000.0
380,Italy,10-20 years,40-44,Data Scientist,Man,35000.0
381,Spain,5-10 years,30-34,Data Scientist,Man,55000.0
382,Poland,No experience,40-44,Other,Man,45000.0
383,Poland,3-4 years,45-49,Data Engineer,Man,55000.0
384,Germany,5-10 years,30-34,Data Scientist,Man,112500.0
385,Greece,Under 1 year,35-39,Data Analyst,Woman,27500.0
386,Ireland,1-2 years,40-44,Data Engineer,Man,85000.0
387,Czech Republic,Under 1 year,25-29,Data Engineer,Man,35000.0
388,Romania,2-3 years,30-34,Data Scientist,Man,45000.0
389,France,No experience,35-39,Other,Woman,4500.0
390,Russia,Under 1 year,22-24,Data Scientist,Man,12500.0
391,Germany,Under 1 year,35-39,Data Analyst,Man,500.0
392,Spain,Under 1 year,25-29,Data Analyst,Man,45000.0
393,Spain,No experience,35-39,Data Engineer,Man,45000.0
394,Spain,1-2 years,22-24,Data Engineer,Man,17500.0
395,Belarus,Under 1 year,30-34,Data Scientist,Man,500.0
396,Germany,2-3 years,30-34,Data Analyst,Man,95000.0
397,Italy,Under 1 year,25-29,Data Analyst,Man,22500.0
398,Germany,2-3 years,25-29,Data Scientist,Man,12500.0
399,Russia,Under 1 year,22-24,Data Analyst,Man,12500.0
400,Russia,Under 1 year,55-59,Data Engineer,Man,45000.0
401,Netherlands,20 or more years,40-44,Data Scientist,Other,95000.0
402,Portugal,4-5 years,30-34,Data Scientist,Man,45000.0
403,Spain,1-2 years,30-34,Data Engineer,Man,27500.0
404,France,2-3 years,30-34,Data Engineer,Man,55000.0
405,Poland,1-2 years,25-29,Data Scientist,Woman,2500.0
406,France,3-4 years,30-34,Data Scientist,Man,75000.0
407,Russia,Under 1 year,30-34,Other,Man,12500.0
408,Russia,3-4 years,25-29,Data Scientist,Woman,35000.0
409,Poland,1-2 years,45-49,Data Analyst,Man,95000.0
410,Ireland,No experience,50-54,Other,Man,45000.0
411,Russia,1-2 years,30-34,Data Scientist,Man,35000.0
412,Ukraine,1-2 years,22-24,Data Engineer,Man,6250.0
413,UK,Under 1 year,22-24,Data Engineer,Man,500.0
414,France,1-2 years,25-29,Data Scientist,Man,39176.71626648631
415,Spain,No experience,45-49,Other,Man,65000.0
416,UK,2-3 years,25-29,Data Scientist,Man,55000.0
417,Belgium,4-5 years,30-34,Data Scientist,Man,75000.0
418,UK,1-2 years,40-44,Data Engineer,Man,55000.0
419,Sweden,2-3 years,30-34,Data Engineer,Woman,55000.0
420,Russia,1-2 years,18-21,Data Scientist,Man,500.0
421,Germany,Under 1 year,50-54,Data Analyst,Man,65000.0
422,Italy,20 or more years,40-44,Data Scientist,Woman,39176.71626648631
423,Spain,Under 1 year,25-29,Data Scientist,Man,27500.0
424,Germany,Under 1 year,40-44,Data Analyst,Man,85000.0
425,Ukraine,Under 1 year,35-39,Data Engineer,Man,22500.0
426,UK,No experience,35-39,Other,Man,137500.0
427,UK,Under 1 year,30-34,Data Scientist,Woman,39176.71626648631
428,Poland,Under 1 year,22-24,Data Engineer,Man,27500.0
429,Germany,1-2 years,30-34,Data Scientist,Man,1500.0
430,Spain,Under 1 year,50-54,Data Analyst,Man,2500.0
431,UK,Under 1 year,18-21,Data Engineer,Man,35000.0
432,Spain,3-4 years,25-29,Data Engineer,Man,27500.0
433,UK,Under 1 year,30-34,Data Analyst,Man,27500.0
434,Netherlands,No experience,35-39,Data Engineer,Man,112500.0
435,Russia,1-2 years,25-29,Other,Man,2500.0
436,Germany,No experience,30-34,Other,Woman,35000.0
437,Spain,Under 1 year,40-44,Data Scientist,Man,22500.0
438,Portugal,1-2 years,35-39,Data Scientist,Man,27500.0
439,UK,No experience,55-59,Data Scientist,Man,22500.0
440,Russia,2-3 years,40-44,Data Scientist,Man,65000.0
441,Poland,5-10 years,30-34,Data Scientist,Man,35000.0
442,France,1-2 years,30-34,Data Analyst,Man,35000.0
443,UK,1-2 years,25-29,Data Scientist,Man,75000.0
444,Spain,3-4 years,25-29,Data Engineer,Man,22500.0
445,Poland,1-2 years,25-29,Data Engineer,Man,65000.0
446,Switzerland,4-5 years,35-39,Data Scientist,Woman,27500.0
447,Belgium,2-3 years,35-39,Data Engineer,Man,35000.0
448,Spain,4-5 years,50-54,Other,Man,55000.0
449,Germany,1-2 years,45-49,Data Analyst,Man,112500.0
450,Ukraine,3-4 years,30-34,Other,Woman,4500.0
