,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
72,22-24,Man,Mexico,Some college,Other,3-5 years,2,Under 1 year,Online Business/Internet-based Sales,0-49 employees,0,5000-7499,Other,Small,No team,Other,6250.0,less than 10k
73,30-34,Woman,Iran,Master’s degree,Software Engineer,5-10 years,2,No experience,Computers/Technology,"1000-9,999 employees",20+,3000-3999,Other,Large,Large,Data Engineer,3500.0,less than 10k
74,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years,2,1-2 years,Academics/Education,250-999 employees,5-9,3000-3999,Other,Large,Small,Data Analyst,3500.0,less than 10k
76,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years,3,2-3 years,Manufacturing/Fabrication,0-49 employees,1-2,3000-3999,Europe,Small,Small,Data Scientist,3500.0,less than 10k
77,50-54,Man,USA,Master’s degree,Data Engineer,20+ years,2,No experience,Computers/Technology,"10,000 or more employees",1-2,300000-499999,USA,Large,Small,Data Engineer,400000.0,more than 125k
78,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,20000-24999,Other,Large,Large,Data Analyst,22500.0,between 10k and 30k
81,35-39,Man,USA,Professional doctorate,Research Scientist,10-20 years,6,5-10 years,Medical/Pharmaceutical,"10,000 or more employees",20+,200000-249999,USA,Large,Large,Data Scientist,225000.0,more than 125k
82,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,5,3-4 years,Computers/Technology,50-249 employees,1-2,50000-59999,Other,Medium,Small,Data Engineer,55000.0,between 50k and 80k
83,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,20000-24999,India,Large,Large,Data Analyst,22500.0,between 10k and 30k
87,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Retail/Sales,"10,000 or more employees",20+,20000-24999,Other,Large,Large,Data Scientist,22500.0,between 10k and 30k
88,25-29,Man,USA,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Online Service/Internet-based Services,"1000-9,999 employees",5-9,70000-79999,USA,Large,Small,Data Scientist,75000.0,between 50k and 80k
90,55-59,Man,USA,Bachelor’s degree,Software Engineer,20+ years,5,5-10 years,Other,50-249 employees,20+,125000-149999,USA,Medium,Large,Data Engineer,137500.0,more than 125k
91,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",10-14,10000-14999,Other,Large,Medium,Data Scientist,12500.0,between 10k and 30k
92,30-34,Man,USA,Master’s degree,Business Analyst,1-3 years,2,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,60000-69999,USA,Large,Large,Data Analyst,65000.0,between 50k and 80k
94,55-59,Man,USA,Bachelor’s degree,Other,1-3 years,2,No experience,Medical/Pharmaceutical,"1000-9,999 employees",5-9,70000-79999,USA,Large,Small,Other,75000.0,between 50k and 80k
95,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Data Scientist,500.0,less than 10k
97,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Academics/Education,"1000-9,999 employees",20+,10000-14999,India,Large,Large,Data Engineer,12500.0,between 10k and 30k
98,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years,4,3-4 years,Non-profit/Service,0-49 employees,0,40000-49999,Europe,Small,No team,Data Engineer,45000.0,between 30k and 50k
102,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,2,No experience,Computers/Technology,"10,000 or more employees",5-9,7500-9999,India,Large,Small,Data Engineer,8750.0,less than 10k
103,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,250-999 employees,1-2,1000-1999,India,Large,Small,Data Analyst,1500.0,less than 10k
104,25-29,Man,Other,Bachelor’s degree,Data Scientist,1-3 years,3,Under 1 year,Academics/Education,0-49 employees,1-2,4000-4999,Other,Small,Small,Data Scientist,4500.0,less than 10k
105,40-44,Woman,USA,Master’s degree,Other,5-10 years,1,4-5 years,Academics/Education,50-249 employees,5-9,25000-29999,USA,Medium,Small,Other,27500.0,between 10k and 30k
106,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years,4,No experience,Online Service/Internet-based Services,0-49 employees,0,25000-29999,Europe,Small,No team,Data Engineer,27500.0,between 10k and 30k
107,30-34,Man,India,Master’s degree,Data Analyst,1-3 years,2,No experience,Computers/Technology,"10,000 or more employees",20+,nan,India,Large,Large,Data Analyst,39176.716266486306,more than 125k
108,55-59,Man,USA,Master’s degree,Data Scientist,20+ years,5,1-2 years,Medical/Pharmaceutical,"1000-9,999 employees",20+,100000-124999,USA,Large,Large,Data Scientist,112500.0,between 80k and 125k
109,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years,2,No experience,Manufacturing/Fabrication,250-999 employees,5-9,100000-124999,Other,Large,Small,Data Analyst,112500.0,between 80k and 125k
110,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",20+,1000-1999,India,Large,Large,Data Analyst,1500.0,less than 10k
113,45-49,Man,Poland,Master’s degree,Other,1-3 years,1,1-2 years,Insurance/Risk Assessment,"10,000 or more employees",20+,50000-59999,Europe,Large,Large,Other,55000.0,between 50k and 80k
115,18-21,Man,Other,Bachelor’s degree,Other,1-3 years,3,No experience,Academics/Education,0-49 employees,0,nan,Other,Small,No team,Other,39176.716266486306,more than 125k
117,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years,2,No experience,Energy/Mining,250-999 employees,0,10000-14999,Other,Large,No team,Other,12500.0,between 10k and 30k
120,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years,3,2-3 years,Broadcasting/Communications,"10,000 or more employees",20+,30000-39999,Other,Large,Large,Data Engineer,35000.0,between 30k and 50k
121,18-21,Man,Other,Some college,Data Engineer,3-5 years,1,2-3 years,Government/Public Service,250-999 employees,3-4,nan,Other,Large,Small,Data Engineer,39176.716266486306,more than 125k
123,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,4,5-10 years,Computers/Technology,"10,000 or more employees",20+,60000-69999,India,Large,Large,Data Analyst,65000.0,between 50k and 80k
124,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years,2,5-10 years,Medical/Pharmaceutical,50-249 employees,20+,30000-39999,Europe,Medium,Large,Data Scientist,35000.0,between 30k and 50k
127,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years,4,No experience,Academics/Education,50-249 employees,5-9,40000-49999,Europe,Medium,Small,Data Scientist,45000.0,between 30k and 50k
128,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years,2,5-10 years,Academics/Education,0-49 employees,3-4,100000-124999,Other,Small,Small,Data Scientist,112500.0,between 80k and 125k
129,22-24,Man,Other,Some college,Software Engineer,< 1 years,4,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
130,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,2,Under 1 year,Academics/Education,"1000-9,999 employees",0,50000-59999,Europe,Large,No team,Data Scientist,55000.0,between 50k and 80k
131,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years,2,2-3 years,Energy/Mining,"1000-9,999 employees",5-9,40000-49999,Other,Large,Small,Data Scientist,45000.0,between 30k and 50k
132,18-21,Man,Egypt,Some college,Machine Learning Engineer,1-3 years,1,No experience,Online Business/Internet-based Sales,50-249 employees,3-4,4000-4999,Other,Medium,Small,Data Engineer,4500.0,less than 10k
135,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years,3,No experience,Computers/Technology,0-49 employees,0,40000-49999,Other,Small,No team,Data Engineer,45000.0,between 30k and 50k
136,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years,1,2-3 years,Marketing/CRM,"1000-9,999 employees",20+,25000-29999,Other,Large,Large,Data Engineer,27500.0,between 10k and 30k
139,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years,2,1-2 years,Marketing/CRM,50-249 employees,3-4,0-999,India,Medium,Small,Data Engineer,500.0,less than 10k
140,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years,6,5-10 years,Computers/Technology,50-249 employees,3-4,10000-14999,Other,Medium,Small,Data Engineer,12500.0,between 10k and 30k
142,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,India,Small,Small,Data Scientist,500.0,less than 10k
143,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years,1,No experience,Accounting/Finance,50-249 employees,10-14,0-999,Other,Medium,Medium,Data Analyst,500.0,less than 10k
147,40-44,Man,UK,Bachelor’s degree,Data Engineer,10-20 years,3,2-3 years,Non-profit/Service,"10,000 or more employees",20+,80000-89999,Europe,Large,Large,Data Engineer,85000.0,between 80k and 125k
154,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Data Scientist,500.0,less than 10k
156,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years,5,1-2 years,Energy/Mining,250-999 employees,1-2,90000-99999,Other,Large,Small,Data Analyst,95000.0,between 80k and 125k
158,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years,6,2-3 years,Computers/Technology,50-249 employees,1-2,5000-7499,India,Medium,Small,Data Engineer,6250.0,less than 10k
159,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Insurance/Risk Assessment,"10,000 or more employees",5-9,125000-149999,Other,Large,Small,Data Scientist,137500.0,more than 125k
163,30-34,Man,Spain,Some college,Software Engineer,< 1 years,2,No experience,Computers/Technology,50-249 employees,1-2,25000-29999,Europe,Medium,Small,Data Engineer,27500.0,between 10k and 30k
164,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years,4,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
165,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years,2,No experience,Online Service/Internet-based Services,0-49 employees,0,100000-124999,Other,Small,No team,Data Engineer,112500.0,between 80k and 125k
166,25-29,Man,Nigeria,Some college,Program/Project Manager,3-5 years,1,No experience,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,Data Analyst,500.0,less than 10k
168,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years,3,Under 1 year,Insurance/Risk Assessment,250-999 employees,3-4,125000-149999,Europe,Large,Small,Data Analyst,137500.0,more than 125k
170,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",20+,100000-124999,Other,Large,Large,Data Scientist,112500.0,between 80k and 125k
172,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",3-4,0-999,India,Large,Small,Data Engineer,500.0,less than 10k
173,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,3,1-2 years,Computers/Technology,250-999 employees,1-2,10000-14999,India,Large,Small,Data Engineer,12500.0,between 10k and 30k
174,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,0,7500-9999,Other,Small,No team,Other,8750.0,less than 10k
175,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",10-14,0-999,India,Large,Medium,Data Engineer,500.0,less than 10k
177,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years,1,Under 1 year,Academics/Education,250-999 employees,1-2,0-999,Other,Large,Small,Data Scientist,500.0,less than 10k
181,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years,4,2-3 years,Computers/Technology,0-49 employees,1-2,10000-14999,Other,Small,Small,Data Analyst,12500.0,between 10k and 30k
184,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years,3,1-2 years,Energy/Mining,"1000-9,999 employees",1-2,25000-29999,Other,Large,Small,Data Scientist,27500.0,between 10k and 30k
185,30-34,Man,USA,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Online Business/Internet-based Sales,0-49 employees,1-2,250000-299999,USA,Small,Small,Data Scientist,275000.0,more than 125k
186,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,4,2-3 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,5000-7499,Other,Large,Large,Data Analyst,6250.0,less than 10k
187,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years,7,1-2 years,Other,250-999 employees,20+,25000-29999,Other,Large,Large,Other,27500.0,between 10k and 30k
189,30-34,Man,India,Bachelor’s degree,Other,5-10 years,2,1-2 years,Computers/Technology,"10,000 or more employees",1-2,30000-39999,India,Large,Small,Other,35000.0,between 30k and 50k
192,55-59,Man,USA,Master’s degree,Data Scientist,20+ years,2,5-10 years,Broadcasting/Communications,"10,000 or more employees",20+,200000-249999,USA,Large,Large,Data Scientist,225000.0,more than 125k
194,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years,2,4-5 years,Marketing/CRM,50-249 employees,10-14,60000-69999,Europe,Medium,Medium,Data Scientist,65000.0,between 50k and 80k
197,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Retail/Sales,50-249 employees,5-9,0-999,Other,Medium,Small,Data Scientist,500.0,less than 10k
198,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years,1,Under 1 year,Shipping/Transportation,0-49 employees,1-2,25000-29999,Europe,Small,Small,Data Analyst,27500.0,between 10k and 30k
199,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years,3,Under 1 year,Computers/Technology,50-249 employees,3-4,20000-24999,Other,Medium,Small,Data Engineer,22500.0,between 10k and 30k
200,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years,2,4-5 years,Academics/Education,50-249 employees,1-2,4000-4999,Other,Medium,Small,Data Scientist,4500.0,less than 10k
201,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years,3,No experience,Broadcasting/Communications,0-49 employees,0,15000-19999,Europe,Small,No team,Data Engineer,17500.0,between 10k and 30k
202,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,1,3-4 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,60000-69999,India,Large,Large,Data Scientist,65000.0,between 50k and 80k
204,30-34,Man,USA,Some college,Other,< 1 years,1,Under 1 year,Shipping/Transportation,"10,000 or more employees",20+,40000-49999,USA,Large,Large,Other,45000.0,between 30k and 50k
205,22-24,Man,India,Master’s degree,Software Engineer,5-10 years,2,1-2 years,Online Service/Internet-based Services,"10,000 or more employees",5-9,nan,India,Large,Small,Data Engineer,39176.716266486306,more than 125k
208,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,1,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",20+,10000-14999,Europe,Large,Large,Data Scientist,12500.0,between 10k and 30k
213,55-59,Man,Brazil,Some college,Other,20+ years,7,1-2 years,Computers/Technology,50-249 employees,0,1000-1999,Other,Medium,No team,Other,1500.0,less than 10k
216,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years,1,4-5 years,Academics/Education,"1000-9,999 employees",5-9,60000-69999,Europe,Large,Small,Data Scientist,65000.0,between 50k and 80k
217,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years,4,Under 1 year,Shipping/Transportation,"1000-9,999 employees",20+,1000-1999,Other,Large,Large,Data Engineer,1500.0,less than 10k
219,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years,4,4-5 years,Computers/Technology,"10,000 or more employees",20+,30000-39999,India,Large,Large,Data Engineer,35000.0,between 30k and 50k
221,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,10000-14999,India,Large,Large,Data Analyst,12500.0,between 10k and 30k
223,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years,3,2-3 years,Retail/Sales,250-999 employees,3-4,20000-24999,Other,Large,Small,Data Analyst,22500.0,between 10k and 30k
225,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years,2,Under 1 year,Other,0-49 employees,0,0-999,Other,Small,No team,Data Scientist,500.0,less than 10k
226,45-49,Man,Portugal,High school,Other,< 1 years,1,Under 1 year,Other,"1000-9,999 employees",3-4,10000-14999,Europe,Large,Small,Other,12500.0,between 10k and 30k
227,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years,7,1-2 years,Computers/Technology,0-49 employees,0,3000-3999,Other,Small,No team,Data Engineer,3500.0,less than 10k
228,25-29,Woman,Hong Kong,Doctoral degree,Data Scientist,5-10 years,1,4-5 years,Accounting/Finance,"10,000 or more employees",3-4,7500-9999,Other,Large,Small,Data Scientist,8750.0,less than 10k
229,25-29,Man,Japan,High school,Machine Learning Engineer,5-10 years,3,4-5 years,Computers/Technology,"1000-9,999 employees",3-4,60000-69999,Other,Large,Small,Data Engineer,65000.0,between 50k and 80k
230,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,1-2 years,Manufacturing/Fabrication,"10,000 or more employees",15-19,10000-14999,India,Large,Medium,Data Scientist,12500.0,between 10k and 30k
231,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,4000-4999,India,Large,Large,Data Scientist,4500.0,less than 10k
232,22-24,Man,China,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Manufacturing/Fabrication,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
234,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years,2,1-2 years,Academics/Education,0-49 employees,3-4,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
235,50-54,Man,Austria,High school,Software Engineer,20+ years,3,No experience,Shipping/Transportation,"1000-9,999 employees",3-4,70000-79999,Europe,Large,Small,Data Engineer,75000.0,between 50k and 80k
238,45-49,Man,Sweden,Master’s degree,Software Engineer,20+ years,3,1-2 years,Accounting/Finance,0-49 employees,1-2,nan,Europe,Small,Small,Data Engineer,39176.716266486306,more than 125k
240,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years,4,4-5 years,Computers/Technology,"1000-9,999 employees",1-2,125000-149999,Other,Large,Small,Data Engineer,137500.0,more than 125k
243,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,3,1-2 years,Computers/Technology,"1000-9,999 employees",1-2,2000-2999,India,Large,Small,Data Engineer,2500.0,less than 10k
