,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,salary_avg,salary_group,role_group
16,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years,4,4-5 years,Academics/Education,50-249 employees,5-9,10000-14999,Europe,Medium,Small,12500.0,between 10k and 30k,Data Scientist
17,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,2,1-2 years,Energy/Mining,"1000-9,999 employees",5-9,2000-2999,Europe,Large,Small,2500.0,less than 10k,Data Analyst
18,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,3-4,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
20,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years,1,No experience,Shipping/Transportation,"10,000 or more employees",5-9,5000-7499,Other,Large,Small,6250.0,less than 10k,Other
21,70,Man,Singapore,Bachelor’s degree,Other,< 1 years,1,No experience,Manufacturing/Fabrication,250-999 employees,5-9,20000-24999,Other,Large,Small,22500.0,between 10k and 30k,Other
22,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",20+,1000-1999,Other,Large,Large,1500.0,less than 10k,Data Scientist
24,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years,3,5-10 years,Computers/Technology,0-49 employees,1-2,100000-124999,Other,Small,Small,112500.0,between 80k and 125k,Data Engineer
26,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,2,Under 1 year,Computers/Technology,0-49 employees,3-4,25000-29999,Europe,Small,Small,27500.0,between 10k and 30k,Data Engineer
27,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years,2,Under 1 year,Academics/Education,50-249 employees,0,0-999,Other,Medium,No team,500.0,less than 10k,Data Scientist
29,22-24,Woman,Iran,Bachelor’s degree,Data Scientist,3-5 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Scientist
31,22-24,Man,India,Bachelor’s degree,Other,1-3 years,1,No experience,Computers/Technology,"1000-9,999 employees",0,7500-9999,India,Large,No team,8750.0,less than 10k,Other
32,30-34,Man,India,Master’s degree,Data Scientist,5-10 years,3,5-10 years,Insurance/Risk Assessment,250-999 employees,20+,100000-124999,India,Large,Large,112500.0,between 80k and 125k,Data Scientist
34,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,1,No experience,Non-profit/Service,0-49 employees,0,7500-9999,Other,Small,No team,8750.0,less than 10k,Data Analyst
39,22-24,Man,Japan,High school,Software Engineer,3-5 years,4,No experience,Computers/Technology,0-49 employees,0,2000-2999,Other,Small,No team,2500.0,less than 10k,Data Engineer
42,25-29,Man,Italy,Master’s degree,Other,1-3 years,2,Under 1 year,Energy/Mining,0-49 employees,1-2,30000-39999,Europe,Small,Small,35000.0,between 30k and 50k,Other
43,55-59,Man,USA,Master’s degree,Software Engineer,10-20 years,3,3-4 years,Computers/Technology,0-49 employees,3-4,15000-19999,USA,Small,Small,17500.0,between 10k and 30k,Data Engineer
44,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Academics/Education,50-249 employees,1-2,4000-4999,Other,Medium,Small,4500.0,less than 10k,Data Engineer
46,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years,3,1-2 years,Accounting/Finance,50-249 employees,5-9,100000-124999,Other,Medium,Small,112500.0,between 80k and 125k,Data Scientist
47,22-24,Man,China,Some college,Data Analyst,< 1 years,7,1-2 years,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Analyst
49,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,6,2-3 years,Hospitality/Entertainment/Sports,"10,000 or more employees",3-4,1000-1999,India,Large,Small,1500.0,less than 10k,Data Engineer
50,30-34,Woman,USA,Master’s degree,Data Scientist,5-10 years,2,4-5 years,Other,"10,000 or more employees",10-14,100000-124999,USA,Large,Medium,112500.0,between 80k and 125k,Data Scientist
52,40-44,Man,USA,Bachelor’s degree,Research Scientist,< 1 years,1,No experience,Manufacturing/Fabrication,"1000-9,999 employees",1-2,70000-79999,USA,Large,Small,75000.0,between 50k and 80k,Data Scientist
53,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Manufacturing/Fabrication,250-999 employees,1-2,25000-29999,Other,Large,Small,27500.0,between 10k and 30k,Data Analyst
54,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,3,1-2 years,Accounting/Finance,50-249 employees,0,60000-69999,Other,Medium,No team,65000.0,between 50k and 80k,Data Analyst
56,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years,2,2-3 years,Computers/Technology,250-999 employees,10-14,7500-9999,Other,Large,Medium,8750.0,less than 10k,Data Engineer
58,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years,2,No experience,Academics/Education,"1000-9,999 employees",3-4,0-999,Europe,Large,Small,500.0,less than 10k,Data Scientist
59,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,3,1-2 years,Computers/Technology,50-249 employees,20+,0-999,India,Medium,Large,500.0,less than 10k,Data Engineer
60,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,2,1-2 years,Government/Public Service,"10,000 or more employees",0,2000-2999,India,Large,No team,2500.0,less than 10k,Data Analyst
62,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,Under 1 year,Computers/Technology,0-49 employees,0,0-999,Europe,Small,No team,500.0,less than 10k,Data Engineer
63,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years,3,4-5 years,Online Service/Internet-based Services,250-999 employees,5-9,40000-49999,Other,Large,Small,45000.0,between 30k and 50k,Data Scientist
66,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years,4,1-2 years,Accounting/Finance,0-49 employees,10-14,0-999,Europe,Small,Medium,500.0,less than 10k,Data Engineer
67,30-34,Other,China,I prefer not to answer,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Analyst
68,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,1,1-2 years,Online Service/Internet-based Services,"1000-9,999 employees",1-2,7500-9999,Other,Large,Small,8750.0,less than 10k,Data Analyst
69,35-39,Man,India,Bachelor’s degree,Other,< 1 years,2,1-2 years,Online Business/Internet-based Sales,0-49 employees,1-2,2000-2999,India,Small,Small,2500.0,less than 10k,Other
70,40-44,Man,UK,Master’s degree,Other,20+ years,2,Under 1 year,Online Service/Internet-based Services,250-999 employees,5-9,50000-59999,Europe,Large,Small,55000.0,between 50k and 80k,Other
72,22-24,Man,Mexico,Some college,Other,3-5 years,2,Under 1 year,Online Business/Internet-based Sales,0-49 employees,0,5000-7499,Other,Small,No team,6250.0,less than 10k,Other
73,30-34,Woman,Iran,Master’s degree,Software Engineer,5-10 years,2,No experience,Computers/Technology,"1000-9,999 employees",20+,3000-3999,Other,Large,Large,3500.0,less than 10k,Data Engineer
74,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years,2,1-2 years,Academics/Education,250-999 employees,5-9,3000-3999,Other,Large,Small,3500.0,less than 10k,Data Analyst
76,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years,3,2-3 years,Manufacturing/Fabrication,0-49 employees,1-2,3000-3999,Europe,Small,Small,3500.0,less than 10k,Data Scientist
77,50-54,Man,USA,Master’s degree,Data Engineer,20+ years,2,No experience,Computers/Technology,"10,000 or more employees",1-2,300000-499999,USA,Large,Small,400000.0,more than 125k,Data Engineer
78,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Accounting/Finance,"1000-9,999 employees",20+,20000-24999,Other,Large,Large,22500.0,between 10k and 30k,Data Analyst
81,35-39,Man,USA,Professional doctorate,Research Scientist,10-20 years,6,5-10 years,Medical/Pharmaceutical,"10,000 or more employees",20+,200000-249999,USA,Large,Large,225000.0,more than 125k,Data Scientist
82,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,5,3-4 years,Computers/Technology,50-249 employees,1-2,50000-59999,Other,Medium,Small,55000.0,between 50k and 80k,Data Engineer
83,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,20000-24999,India,Large,Large,22500.0,between 10k and 30k,Data Analyst
87,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Retail/Sales,"10,000 or more employees",20+,20000-24999,Other,Large,Large,22500.0,between 10k and 30k,Data Scientist
88,25-29,Man,USA,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Online Service/Internet-based Services,"1000-9,999 employees",5-9,70000-79999,USA,Large,Small,75000.0,between 50k and 80k,Data Scientist
90,55-59,Man,USA,Bachelor’s degree,Software Engineer,20+ years,5,5-10 years,Other,50-249 employees,20+,125000-149999,USA,Medium,Large,137500.0,more than 125k,Data Engineer
91,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",10-14,10000-14999,Other,Large,Medium,12500.0,between 10k and 30k,Data Scientist
92,30-34,Man,USA,Master’s degree,Business Analyst,1-3 years,2,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,60000-69999,USA,Large,Large,65000.0,between 50k and 80k,Data Analyst
94,55-59,Man,USA,Bachelor’s degree,Other,1-3 years,2,No experience,Medical/Pharmaceutical,"1000-9,999 employees",5-9,70000-79999,USA,Large,Small,75000.0,between 50k and 80k,Other
95,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Scientist
97,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,1,1-2 years,Academics/Education,"1000-9,999 employees",20+,10000-14999,India,Large,Large,12500.0,between 10k and 30k,Data Engineer
98,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years,4,3-4 years,Non-profit/Service,0-49 employees,0,40000-49999,Europe,Small,No team,45000.0,between 30k and 50k,Data Engineer
102,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,2,No experience,Computers/Technology,"10,000 or more employees",5-9,7500-9999,India,Large,Small,8750.0,less than 10k,Data Engineer
103,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,250-999 employees,1-2,1000-1999,India,Large,Small,1500.0,less than 10k,Data Analyst
104,25-29,Man,Other,Bachelor’s degree,Data Scientist,1-3 years,3,Under 1 year,Academics/Education,0-49 employees,1-2,4000-4999,Other,Small,Small,4500.0,less than 10k,Data Scientist
105,40-44,Woman,USA,Master’s degree,Other,5-10 years,1,4-5 years,Academics/Education,50-249 employees,5-9,25000-29999,USA,Medium,Small,27500.0,between 10k and 30k,Other
106,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years,4,No experience,Online Service/Internet-based Services,0-49 employees,0,25000-29999,Europe,Small,No team,27500.0,between 10k and 30k,Data Engineer
108,55-59,Man,USA,Master’s degree,Data Scientist,20+ years,5,1-2 years,Medical/Pharmaceutical,"1000-9,999 employees",20+,100000-124999,USA,Large,Large,112500.0,between 80k and 125k,Data Scientist
109,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years,2,No experience,Manufacturing/Fabrication,250-999 employees,5-9,100000-124999,Other,Large,Small,112500.0,between 80k and 125k,Data Analyst
110,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",20+,1000-1999,India,Large,Large,1500.0,less than 10k,Data Analyst
113,45-49,Man,Poland,Master’s degree,Other,1-3 years,1,1-2 years,Insurance/Risk Assessment,"10,000 or more employees",20+,50000-59999,Europe,Large,Large,55000.0,between 50k and 80k,Other
116,60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 years,5,3-4 years,Computers/Technology,0-49 employees,5-9,10000-14999,India,Small,Small,12500.0,between 10k and 30k,Data Analyst
117,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years,2,No experience,Energy/Mining,250-999 employees,0,10000-14999,Other,Large,No team,12500.0,between 10k and 30k,Other
120,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years,3,2-3 years,Broadcasting/Communications,"10,000 or more employees",20+,30000-39999,Other,Large,Large,35000.0,between 30k and 50k,Data Engineer
122,70,Man,USA,Master’s degree,Other,3-5 years,1,2-3 years,Energy/Mining,0-49 employees,1-2,250000-299999,USA,Small,Small,275000.0,more than 125k,Other
123,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,4,5-10 years,Computers/Technology,"10,000 or more employees",20+,60000-69999,India,Large,Large,65000.0,between 50k and 80k,Data Analyst
124,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years,2,5-10 years,Medical/Pharmaceutical,50-249 employees,20+,30000-39999,Europe,Medium,Large,35000.0,between 30k and 50k,Data Scientist
125,60-69,Man,India,Master’s degree,Other,1-3 years,2,Under 1 year,Other,"10,000 or more employees",0,0-999,India,Large,No team,500.0,less than 10k,Other
127,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years,4,No experience,Academics/Education,50-249 employees,5-9,40000-49999,Europe,Medium,Small,45000.0,between 30k and 50k,Data Scientist
128,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years,2,5-10 years,Academics/Education,0-49 employees,3-4,100000-124999,Other,Small,Small,112500.0,between 80k and 125k,Data Scientist
129,22-24,Man,Other,Some college,Software Engineer,< 1 years,4,Under 1 year,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Engineer
130,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,2,Under 1 year,Academics/Education,"1000-9,999 employees",0,50000-59999,Europe,Large,No team,55000.0,between 50k and 80k,Data Scientist
131,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years,2,2-3 years,Energy/Mining,"1000-9,999 employees",5-9,40000-49999,Other,Large,Small,45000.0,between 30k and 50k,Data Scientist
132,18-21,Man,Egypt,Some college,Machine Learning Engineer,1-3 years,1,No experience,Online Business/Internet-based Sales,50-249 employees,3-4,4000-4999,Other,Medium,Small,4500.0,less than 10k,Data Engineer
135,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years,3,No experience,Computers/Technology,0-49 employees,0,40000-49999,Other,Small,No team,45000.0,between 30k and 50k,Data Engineer
136,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years,1,2-3 years,Marketing/CRM,"1000-9,999 employees",20+,25000-29999,Other,Large,Large,27500.0,between 10k and 30k,Data Engineer
139,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years,2,1-2 years,Marketing/CRM,50-249 employees,3-4,0-999,India,Medium,Small,500.0,less than 10k,Data Engineer
140,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years,6,5-10 years,Computers/Technology,50-249 employees,3-4,10000-14999,Other,Medium,Small,12500.0,between 10k and 30k,Data Engineer
142,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,India,Small,Small,500.0,less than 10k,Data Scientist
143,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years,1,No experience,Accounting/Finance,50-249 employees,10-14,0-999,Other,Medium,Medium,500.0,less than 10k,Data Analyst
147,40-44,Man,UK,Bachelor’s degree,Data Engineer,10-20 years,3,2-3 years,Non-profit/Service,"10,000 or more employees",20+,80000-89999,Europe,Large,Large,85000.0,between 80k and 125k,Data Engineer
151,70,Woman,USA,Master’s degree,Data Analyst,20+ years,2,1-2 years,Government/Public Service,"1000-9,999 employees",3-4,100000-124999,USA,Large,Small,112500.0,between 80k and 125k,Data Analyst
154,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,3,Under 1 year,Academics/Education,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Scientist
156,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years,5,1-2 years,Energy/Mining,250-999 employees,1-2,90000-99999,Other,Large,Small,95000.0,between 80k and 125k,Data Analyst
158,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years,6,2-3 years,Computers/Technology,50-249 employees,1-2,5000-7499,India,Medium,Small,6250.0,less than 10k,Data Engineer
159,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years,2,5-10 years,Insurance/Risk Assessment,"10,000 or more employees",5-9,125000-149999,Other,Large,Small,137500.0,more than 125k,Data Scientist
162,60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ years,1,20 or more years,Accounting/Finance,0-49 employees,3-4,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
163,30-34,Man,Spain,Some college,Software Engineer,< 1 years,2,No experience,Computers/Technology,50-249 employees,1-2,25000-29999,Europe,Medium,Small,27500.0,between 10k and 30k,Data Engineer
164,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years,4,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Engineer
165,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years,2,No experience,Online Service/Internet-based Services,0-49 employees,0,100000-124999,Other,Small,No team,112500.0,between 80k and 125k,Data Engineer
166,25-29,Man,Nigeria,Some college,Program/Project Manager,3-5 years,1,No experience,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Analyst
168,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years,3,Under 1 year,Insurance/Risk Assessment,250-999 employees,3-4,125000-149999,Europe,Large,Small,137500.0,more than 125k,Data Analyst
170,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",20+,100000-124999,Other,Large,Large,112500.0,between 80k and 125k,Data Scientist
171,60-69,Man,USA,Master’s degree,Product Manager,20+ years,3,2-3 years,Computers/Technology,0-49 employees,1-2,80000-89999,USA,Small,Small,85000.0,between 80k and 125k,Data Analyst
172,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,1-2 years,Computers/Technology,"10,000 or more employees",3-4,0-999,India,Large,Small,500.0,less than 10k,Data Engineer
173,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,3,1-2 years,Computers/Technology,250-999 employees,1-2,10000-14999,India,Large,Small,12500.0,between 10k and 30k,Data Engineer
174,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,0,7500-9999,Other,Small,No team,8750.0,less than 10k,Other
175,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,3,Under 1 year,Computers/Technology,"10,000 or more employees",10-14,0-999,India,Large,Medium,500.0,less than 10k,Data Engineer
177,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years,1,Under 1 year,Academics/Education,250-999 employees,1-2,0-999,Other,Large,Small,500.0,less than 10k,Data Scientist
181,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years,4,2-3 years,Computers/Technology,0-49 employees,1-2,10000-14999,Other,Small,Small,12500.0,between 10k and 30k,Data Analyst
184,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years,3,1-2 years,Energy/Mining,"1000-9,999 employees",1-2,25000-29999,Other,Large,Small,27500.0,between 10k and 30k,Data Scientist
185,30-34,Man,USA,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Online Business/Internet-based Sales,0-49 employees,1-2,250000-299999,USA,Small,Small,275000.0,more than 125k,Data Scientist
186,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,4,2-3 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,5000-7499,Other,Large,Large,6250.0,less than 10k,Data Analyst
187,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years,7,1-2 years,Other,250-999 employees,20+,25000-29999,Other,Large,Large,27500.0,between 10k and 30k,Other
188,60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 years,1,Under 1 year,Other,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
189,30-34,Man,India,Bachelor’s degree,Other,5-10 years,2,1-2 years,Computers/Technology,"10,000 or more employees",1-2,30000-39999,India,Large,Small,35000.0,between 30k and 50k,Other
192,55-59,Man,USA,Master’s degree,Data Scientist,20+ years,2,5-10 years,Broadcasting/Communications,"10,000 or more employees",20+,200000-249999,USA,Large,Large,225000.0,more than 125k,Data Scientist
194,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years,2,4-5 years,Marketing/CRM,50-249 employees,10-14,60000-69999,Europe,Medium,Medium,65000.0,between 50k and 80k,Data Scientist
197,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Retail/Sales,50-249 employees,5-9,0-999,Other,Medium,Small,500.0,less than 10k,Data Scientist
198,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years,1,Under 1 year,Shipping/Transportation,0-49 employees,1-2,25000-29999,Europe,Small,Small,27500.0,between 10k and 30k,Data Analyst
199,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years,3,Under 1 year,Computers/Technology,50-249 employees,3-4,20000-24999,Other,Medium,Small,22500.0,between 10k and 30k,Data Engineer
200,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years,2,4-5 years,Academics/Education,50-249 employees,1-2,4000-4999,Other,Medium,Small,4500.0,less than 10k,Data Scientist
201,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years,3,No experience,Broadcasting/Communications,0-49 employees,0,15000-19999,Europe,Small,No team,17500.0,between 10k and 30k,Data Engineer
202,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,1,3-4 years,Online Business/Internet-based Sales,"1000-9,999 employees",20+,60000-69999,India,Large,Large,65000.0,between 50k and 80k,Data Scientist
204,30-34,Man,USA,Some college,Other,< 1 years,1,Under 1 year,Shipping/Transportation,"10,000 or more employees",20+,40000-49999,USA,Large,Large,45000.0,between 30k and 50k,Other
208,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,1,1-2 years,Manufacturing/Fabrication,"1000-9,999 employees",20+,10000-14999,Europe,Large,Large,12500.0,between 10k and 30k,Data Scientist
213,55-59,Man,Brazil,Some college,Other,20+ years,7,1-2 years,Computers/Technology,50-249 employees,0,1000-1999,Other,Medium,No team,1500.0,less than 10k,Other
216,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years,1,4-5 years,Academics/Education,"1000-9,999 employees",5-9,60000-69999,Europe,Large,Small,65000.0,between 50k and 80k,Data Scientist
217,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years,4,Under 1 year,Shipping/Transportation,"1000-9,999 employees",20+,1000-1999,Other,Large,Large,1500.0,less than 10k,Data Engineer
219,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years,4,4-5 years,Computers/Technology,"10,000 or more employees",20+,30000-39999,India,Large,Large,35000.0,between 30k and 50k,Data Engineer
221,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,10000-14999,India,Large,Large,12500.0,between 10k and 30k,Data Analyst
223,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years,3,2-3 years,Retail/Sales,250-999 employees,3-4,20000-24999,Other,Large,Small,22500.0,between 10k and 30k,Data Analyst
224,70,Man,Australia,Master’s degree,Other,20+ years,4,20 or more years,Computers/Technology,"10,000 or more employees",1-2,5000-7499,Other,Large,Small,6250.0,less than 10k,Other
225,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years,2,Under 1 year,Other,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Scientist
226,45-49,Man,Portugal,High school,Other,< 1 years,1,Under 1 year,Other,"1000-9,999 employees",3-4,10000-14999,Europe,Large,Small,12500.0,between 10k and 30k,Other
227,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years,7,1-2 years,Computers/Technology,0-49 employees,0,3000-3999,Other,Small,No team,3500.0,less than 10k,Data Engineer
228,25-29,Woman,Hong Kong,Doctoral degree,Data Scientist,5-10 years,1,4-5 years,Accounting/Finance,"10,000 or more employees",3-4,7500-9999,Other,Large,Small,8750.0,less than 10k,Data Scientist
229,25-29,Man,Japan,High school,Machine Learning Engineer,5-10 years,3,4-5 years,Computers/Technology,"1000-9,999 employees",3-4,60000-69999,Other,Large,Small,65000.0,between 50k and 80k,Data Engineer
230,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,1-2 years,Manufacturing/Fabrication,"10,000 or more employees",15-19,10000-14999,India,Large,Medium,12500.0,between 10k and 30k,Data Scientist
231,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,4000-4999,India,Large,Large,4500.0,less than 10k,Data Scientist
232,22-24,Man,China,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Manufacturing/Fabrication,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
234,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years,2,1-2 years,Academics/Education,0-49 employees,3-4,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
235,50-54,Man,Austria,High school,Software Engineer,20+ years,3,No experience,Shipping/Transportation,"1000-9,999 employees",3-4,70000-79999,Europe,Large,Small,75000.0,between 50k and 80k,Data Engineer
